new2kid,Population,Population_density,Households,Med_hh_inc
"43562",1206.09948862184,3.0152487215546,539.477012644646,33800
"44211",1510.97712370943,3.77744280927356,675.845925284807,33800
"44212",1537.34858652631,3.84337146631579,687.641633776302,33800
"44213",1544.77996492937,3.86194991232342,700.327659120689,33800
"44214",1581.67121601776,3.9541780400444,733.806620322215,33800
"44215",11073.9511685748,27.6848779214371,5375.45532822604,33800
"44216",1621.35881733849,4.05339704334623,747.319591145052,34157
"44861",1425.81730748988,3.56454326872471,637.754736552125,33800
"44862",1537.34858652631,3.84337146631579,687.641633776302,33800
"44863",1540.96506449464,3.85241266123659,691.373774791771,33800
"44864",1569.70116075946,3.92425290189866,722.004572207902,33806
"44865",1477.67636425247,3.69419091063119,683.042965272802,34172
"44866",1831.16520065846,4.57791300164616,827.638513299592,35798
"44867",2396.24545091649,5.99061362729122,1073.41693453439,37000
"45511",757.752220670146,1.89438055167536,337.415186177825,35082
"45512",1264.20600995467,3.16051502488667,563.608652619526,34767
"45513",1471.08811300818,3.67772028252046,657.553010587387,34015
"45514",857.654613599487,2.14413653399872,380.274839008319,36774
"45515",840.79130722835,2.10197826807088,372.266306442075,36864
"45516",886.051804015102,2.21512951003776,387.290309284545,37000
"45517",2116.72042681188,5.29180106702969,944.182105659954,37000
"46161",397.721611677994,0.994304029194986,175.487955827092,37000
"46162",813.371928219132,2.03342982054783,358.886650408827,37000
"46163",1051.77323695913,2.62943309239782,467.143757030001,35696
"46164",811.420989532754,2.02855247383188,355.693076336453,37000
"46165",807.163203685212,2.01790800921303,348.723326552152,37000
"46166",801.500045347467,2.00375011336867,339.453063082801,37000
"46167",1056.2170962908,2.64054274072701,456.248534268133,37000
"46168",810.940438561605,2.02735109640401,344.88014289608,37000
"46812",962.65937582752,2.4066484395688,436.717773924809,36951
"46813",2584.40619769688,6.46101549424221,1270.567416871,36503
"46814",10273.8926057067,25.6847315142668,4793.75386061001,36043
"46815",11997.6436878369,29.9941092195923,5462.77001246872,35592
"46816",801.161105039129,2.00290276259782,338.898237352835,37000
"46817",801.161105039129,2.00290276259782,338.898237352835,37000
"46818",801.161105039129,2.00290276259782,338.898237352835,37000
"46819",510.343657521494,1.27585914380373,215.879883447145,37000
"47463",7466.94839029762,18.667370975744,3700.25438651859,35115
"47465",65591.4929712176,163.978732428044,32352.1314650267,33185
"47466",1306.95069960312,3.26737674900779,575.768079356267,36898
"47467",887.712629554995,2.21928157388749,378.072861008431,36975
"47468",1399.57101148687,3.49892752871718,609.748265795414,36839
"47469",925.269973346969,2.31317493336742,395.393807039798,36961
"48115",8374.21270656268,20.9355317664067,4006.81054218134,35727
"48116",2687.44849345481,6.71862123363703,1196.307724895,36874
"48117",1809.26070161794,4.52315175404485,795.180463740354,36742
"48118",2013.14550045793,5.03286375114483,886.010010650186,36685
"48119",2792.20086312092,6.9805021578023,1151.73604426273,35545
"48120",1661.25586861192,4.15313967152981,673.77792054784,34764
"48765",3525.04919216599,8.81262298041498,1667.62250363754,37109
"48766",3363.17386531425,8.40793466328561,1496.86072110463,36867
"48767",1999.21841299062,4.99804603247655,881.158404569565,36700
"48768",3077.64760768446,7.69411901921114,1372.81272962066,36661
"48769",9410.70147090207,23.5267536772552,4310.21488237487,34354
"48770",25058.7185477074,62.6467963692685,12761.1446085751,33700
"49415",6028.05135246398,15.0701283811599,2857.49856884364,37200
"49416",2461.74362652551,6.15435906631378,1077.54089830164,36890
"49417",2096.52745272577,5.24131863181443,913.760273100072,36796
"49418",7567.8798263426,18.9196995658565,3450.0002725202,36700
"50064",6414.10031815451,16.0352507953863,2970.43423534235,37239
"50065",14348.6650389463,35.8716625973657,6199.53873737244,37200
"50066",2566.06937869036,6.4151734467259,1071.07293574192,37199
"50067",2560.5520112509,6.40138002812726,1069.22442826116,37195
"50068",13845.6971770456,34.6142429426141,6153.34357076875,35832
"50714",2591.60118565748,6.47900296414369,1150.12848309929,37539
"50715",2290.13681124279,5.72534202810698,958.769318566369,37884
"50716",2558.60052276329,6.39650130690823,1067.70165773684,37218
"50717",2684.56711765372,6.71141779413431,1123.99930228289,37006
"50718",19373.2155360673,48.4330388401682,8397.16230118559,34365
"50719",16326.8586866128,40.8171467165319,7227.28360548189,34721
"51364",2667.89010923267,6.66972527308168,1192.96986314328,37602
"51365",1910.09003130687,4.77522507826718,815.185435490324,39425
"51366",1711.79362318575,4.27948405796437,700.433806215176,39607
"51367",2039.9415596754,5.0998538991885,846.934681815601,37555
"51368",2520.54376588453,6.30135941471133,1060.00828979157,35872
"51369",2544.63787544759,6.36159468861898,1089.74713849339,35855
"51370",1556.07030868613,3.89017577171531,676.584960698211,37008
"51371",1039.94521598036,2.59986303995089,444.436820488018,35794
"52013",2210.20307030698,5.52550767576745,948.969779857125,37600
"52014",2941.93892337862,7.35484730844655,1263.12576799214,37615
"52015",1898.61218621085,4.74653046552714,788.085807159073,39702
"52016",1468.88569404421,3.67221423511051,595.082428825718,40700
"52017",1618.2211503961,4.04555287599024,662.133651836969,38814
"52018",1707.52273160284,4.26880682900709,705.554258444133,37200
"52019",1558.58460009224,3.8964615002306,677.078561314668,37001
"52020",1673.16135284031,4.18290338210077,702.406604841086,34264
"52021",941.932532901455,2.35483133225364,389.928874311257,32800
"52663",5133.73928923313,12.8343482230828,2339.09205105125,37600
"52664",1991.62653825886,4.97906634564715,854.384800437346,37600
"52665",1733.77892744416,4.3344473186104,732.446267135921,38653
"52666",1575.81899681078,3.93954749202694,634.943427520882,40670
"52667",1581.58577915668,3.9539644478917,638.260144343125,40504
"52668",1810.46897074835,4.52617242687088,744.067929163846,39272
"52669",5425.78650893139,13.5644662723285,2385.34725217651,35020
"52670",4108.17829071494,10.2704457267874,1815.69950719535,33010
"52671",2459.4874324052,6.148718581013,1096.29447288643,38068
"53312",4946.11704969185,12.3652926242296,1913.23798699769,38096
"53313",12177.4037011548,30.443509252887,5117.65118422127,38588
"53314",7337.36877559528,18.3434219389882,3029.61193201836,38031
"53315",1042.11466888887,2.60528667222219,451.37185506585,37600
"53316",1548.53740836717,3.87134352091793,628.944165408642,39927
"53317",1758.85032641529,4.39712581603821,702.688387066639,40700
"53318",2403.46725920778,6.00866814801945,1001.16966286664,38087
"53319",26961.8100806109,67.4045252015273,11397.8997601503,34563
"53320",56693.081286559,141.732703216397,25058.8029783907,33979
"53321",4063.74178415369,10.1593544603842,1837.23997424499,40398
"53322",2898.81066271608,7.24702665679019,1283.20548086815,40400
"53958",2903.12458241796,7.2578114560449,1307.86387213664,35300
"53959",2461.70101308045,6.15425253270113,1108.9892045044,35300
"53960",899.145767008688,2.24786441752172,398.125267629891,35300
"53961",518.300820600472,1.29575205150118,225.304255348743,35300
"53962",3350.07181678731,8.37517954196828,1290.29785693184,36847
"53963",21668.9537875977,54.1723844689943,9657.79882525155,38899
"53964",15946.7759904567,39.8669399761419,6765.2294460162,39398
"53965",1335.8173630643,3.33954340766076,547.759553162041,39197
"53966",1721.14281550035,4.30285703875087,678.408687727172,40486
"53967",1773.72861623835,4.43432154059587,703.643519127239,40700
"53968",2948.91100756149,7.37227751890373,1232.17265151504,37158
"53969",9683.82850763562,24.2095712690891,4095.96383051031,35203
"53970",16817.0443305621,42.0426108264053,7248.2754066137,35282
"53971",18295.3830047835,45.7384575119589,7865.99228368951,39440
"53972",7620.68657969332,19.0517164492333,3415.21497144206,40135
"54607",2514.76733500918,6.28691833752295,1126.2185171134,35300
"54608",2798.67959631522,6.99669899078806,1256.72650478189,35300
"54609",3187.90267354868,7.96975668387171,1435.64347134826,35300
"54610",1019.65284986378,2.54913212465946,452.671175909877,35300
"54611",518.300820600472,1.29575205150118,225.304255348743,35300
"54612",755.416167385733,1.88854041846433,328.665989086978,36057
"54613",1898.97756267884,4.74744390669709,818.387301573585,37711
"54614",2145.04580244062,5.36261450610155,887.306039260557,39149
"54615",1819.82873657177,4.54957184142942,706.602979082039,40700
"54616",1819.82873657177,4.54957184142942,706.602979082039,40700
"54617",1819.82873657177,4.54957184142942,706.602979082039,40700
"54618",2066.52486902918,5.16631217257294,812.481615980031,40500
"54619",6036.39650872296,15.0909912718074,2524.93267441671,36943
"54620",17353.3770290743,43.3834425726857,7445.63263884976,36580
"54621",21999.6413130244,54.9991032825609,10032.8673952371,32103
"54622",3500.01740297298,8.75004350743245,1471.82376094269,34417
"54623",3274.48177614533,8.18620444036332,1415.95990116734,40177
"55256",1470.20505930509,3.67551264826271,650.497895403716,35300
"55257",1728.04258250212,4.32010645625529,764.579101378515,35300
"55258",1728.04258250212,4.32010645625529,764.579101378515,35300
"55259",1984.18510670792,4.9604627667698,882.321974605089,35300
"55260",813.029522915614,2.03257380728904,358.332403387658,35300
"55261",582.063194631478,1.45515798657869,252.390356305238,35300
"55262",691.335629629113,1.72833907407278,299.73137819118,35589
