new2kid,ha_2031,urban_ha,ha_change
"55265",9.31249991990626,9.3125,-0
"55266",7.93749983422458,7.9375,-0
"55267",18.1875003501773,18.1875,0
"55268",6.81250002235174,6.8125,0
"55269",22.1249997615814,22.125,-0
"55270",193.249995261431,84.375,108.875
"55271",272.312498837709,166.75,105.5625
"55272",25.2499995753169,25.25,-0
"55273",46.5624986216426,46.5625,-0
"55274",9.75000029429793,9.75,0
"55275",38.9999990351498,39,-0
"55908",6.37499997392297,6.375,-0
"55909",0,0,0
"55910",12.937500141561,12.9375,0
"55911",10.3125000372529,10.3125,0
"55912",16.0000003874302,16,0
"55913",1.49999996647239,1.5,-0
"55914",30.3124994039536,30.3125,-0
"55915",1.31250001722947,1.3125,0
"55916",10.1249998435378,10.125,-0
"55917",18.7500003608875,18.75,0
"55918",42.5625002011657,42.5625,0
"55919",12.2500000987202,12.25,0
"55920",40.7499991357327,40.75,-0
"55921",58.062501065433,58.0625,0
"55922",54.6874992549419,54.6875,-0
"55923",15.4999999329448,15.5,-0
"55924",27.8125001117587,27.8125,0
"55925",72.8124987334013,72.8125,-0
"56558",3.56249995529652,3.5625,-0
"56559",12.1249999385327,12.125,-0
"56560",5.50000006332994,5.5,0
"56561",12.3749996768311,12.375,-0
"56562",2.56250008242205,2.5625,0
"56563",11.9374999776483,11.9375,-0
"56564",13.4999997913837,13.5,-0
"56565",3.37499999441206,3.375,-0
"56566",4.43750005215406,4.4375,0
"56567",8.31249989569187,8.3125,-0
"56568",26.6250003129244,26.625,0
"56569",13.624999858439,13.625,-0
"56570",38.6250005103648,38.625,0
"56571",62.8749993629754,62.875,-0
"56572",29.6250008046627,29.625,0
"56573",13.6249997187406,13.625,-0
"56574",4.49999999254942,4.5,-0
"56575",3.624999942258,3.625,-0
"56576",69.5000015199184,69.5,0
"57208",11.6875002160668,11.6875,0
"57209",16.5624998509884,16.5625,-0
"57210",1.1875000433065,1.1875,0
"57211",13.4375000372529,13.4375,0
"57212",8.49999971687794,8.5,-0
"57213",29.3749995529652,29.375,-0
"57214",26.1874999850988,26.1875,-0
"57215",9.375,9.375,0
"57216",21.9999998807907,22,-0
"57217",197.437500953674,97.875,99.5625
"57218",28.2499998807907,28.25,-0
"57219",24.250000459142,24.25,0
"57220",27.3750014603138,27.375,0
"57221",16.8124999850988,16.8125,-0
"57222",34.1249998426065,34.125,-0
"57223",1.12500004470348,1.125,0
"57224",14.6874998230487,14.6875,-0
"57225",5.99999995902181,6,-0
"57226",32.3124997317791,32.3125,-0
"57227",15.437500551343,15.4375,0
"57228",0,0,0
"57229",15.3124999022111,15.3125,-0
"57860",25.4374996293336,25.4375,-0
"57861",16.062500141561,16.0625,0
"57862",14.750000089407,14.75,0
"57864",15.3124995529652,15.3125,-0
"57865",108.812503889203,63.625,45.1875
"57866",359.999996423721,181.0625,178.9375
"57867",253.874992579222,74.75,179.125
"57868",13.1250000093132,13.125,0
"57869",55.8125021518208,55.8125,0
"57870",55.0624983385205,55.0625,-0
"57871",3.31249998416752,3.3125,-0
"57872",88.9999970793724,89,-0
"57873",1.4375000144355,1.4375,0
"57874",11.3124996423721,11.3125,-0
"57875",19.5624992251396,19.5625,-0
"57876",42.000001296401,42,0
"57877",5.37499981001019,5.375,-0
"57878",16.1875005811453,16.1875,0
"57879",6.43750005401671,6.4375,0
"57880",79.9999993294477,55.875,24.125
"58517",119.437499903142,39.0625,80.375
"58518",56.3750002533197,56.375,0
"58519",33.6875002831221,33.6875,0
"58520",54.1875012218952,54.1875,0
"58521",4.8125000204891,4.8125,0
"58522",359.999996423721,153.375,206.625
"58523",15.2499997057021,15.25,-0
"58524",0,0,0
"58525",8.00000010058284,8,0
"58526",11.1875000409782,11.1875,0
"58527",9.12499995902181,9.125,-0
"58528",15.3750006109476,15.375,0
"58529",6.37499993899837,6.375,-0
"58530",279.624992609024,182.1875,97.4375
"59169",18.3749996125698,18.375,-0
"59170",4.50000010896474,4.5,0
"59171",166.375002567656,36.25,130.125
"59172",363.625001907349,271.3125,92.3125
"59173",98.3125039376318,19.5625,78.75
"59174",1.87499998137355,1.875,-0
"59175",4.81249988079071,4.8125,-0
"59176",1.12499999813735,1.125,-0
"59177",20.3125001862645,20.3125,0
"59178",25.0624999403954,25.0625,-0
"59179",4.93750013411045,4.9375,0
"59180",191.499995440245,117,74.5
"59181",163.312501832843,103.5,59.8125
"59817",9.68750016763806,9.6875,0
"59818",2.5000000372529,2.5,0
"59819",4.81250009033829,4.8125,0
"59821",17.9374994710088,17.9375,-0
"59822",32.6238266192377,12.9375,19.6863
"59823",0.812499970197678,0.8125,-0
"59824",2.81249992549419,2.8125,-0
"59825",24.0000005811453,24,0
"59826",15.1874996721745,15.1875,-0
"59827",13.5000004433095,13.5,0
"59828",1.5625,1.5625,0
"59829",2.62500001117587,2.625,0
"59830",31.5624997019768,31.5625,-0
"59831",18.3750005322509,18.375,0
"59832",30.1250006072223,30.125,0
"59833",28.4374995622784,28.4375,-0
"59834",6.68750014156103,6.6875,0
"59835",10.4374999180436,10.4375,-0
"60466",6.50000004097819,6.5,0
"60467",30.0000010989606,30,0
"60468",7.25000011734664,7.25,0
"60469",13.0624998360872,13.0625,-0
"60470",0.749999983236194,0.75,-0
"60471",3.99999995715916,4,-0
"60472",10.8124998398125,10.8125,-0
"60473",30.375000089407,30.375,0
"60474",1.75000000745058,1.75,0
"60475",10.0625000195578,10.0625,0
"60476",9.93749983608723,9.9375,-0
"60477",14.4375001080334,14.4375,0
"60478",0.874999968800694,0.875,-0
"60479",9.8750002682209,9.875,0
"60480",4.93750013411045,4.9375,0
"60481",21.000000089407,21,0
"60482",107.124996930361,107.125,-0
"60483",5.87499986868352,5.875,-0
"60484",45.5625012516975,45.5625,0
"60485",6.93749990314245,6.9375,-0
"60486",11.6874999366701,11.6875,-0
"60487",40.8125005662441,40.8125,0
"61119",5.18749989569187,5.1875,-0
"61120",12.562499998603,12.5625,-0
"61121",8.56250040233135,8.5625,0
"61122",4.43749986588955,4.4375,-0
"61123",41.1249992437661,41.125,-0
"61124",14.9999998975545,15,-0
"61125",11.374999769032,11.375,-0
"61126",8.31249998882413,8.3125,-0
"61127",2.24999999627471,2.25,-0
"61128",7.75000005960464,7.75,0
"61129",0.124999997206032,0.125,-0
"61130",6.68750023469329,6.6875,0
"61131",8.81249979138374,8.8125,-0
"61132",2.43749991059303,2.4375,-0
"61133",0,0,0
"61134",12.3750001192093,12.375,0
"61135",17.1249996405095,17.125,-0
"61136",25.5625008605421,25.5625,0
"61137",45.1249992474914,45.125,-0
"61769",18.4999998658895,18.5,-0
"61770",5.00000007450581,5,0
"61771",12.1874995529652,12.1875,-0
"61772",6.31249996367842,6.3125,-0
"61773",19.7500001639128,19.75,0
"61774",3.374999971129,3.375,-0
"61775",27.3124992381781,27.3125,-0
"61776",31.8125007674098,31.8125,0
"61777",11.6249999031425,11.625,-0
"61778",44.8749996721745,44.875,-0
"61779",34.499999997206,34.5,-0
"61780",0.999999966006726,1,-0
"61781",60.0624990649521,60.0625,-0
"61782",6.81250020861626,6.8125,0
"61783",0,0,0
"61784",2.74999998509884,2.75,-0
"61785",4.374999855645,4.375,-0
"61786",9.18749989941716,9.1875,-0
"61787",75.4375033080578,75.4375,0
"61788",5.62499994412065,5.625,-0
"62419",8.50000008940697,8.5,0
"62420",7.62500008568168,7.625,0
"62421",4.68749983701855,4.6875,-0
"62422",30.6874996982515,30.6875,-0
"62423",9.62499994784594,9.625,-0
"62424",15.8125006593764,15.8125,0
"62425",5.81249997485429,5.8125,-0
"62426",17.1249996870756,17.125,-0
"62427",23.3125004917383,23.3125,0
"62428",13.1875002756715,13.1875,0
"62429",30.187501385808,30.1875,0
"62430",38.0624998360872,38.0625,-0
"62431",10.4375006631017,10.4375,0
"62432",22.1250003087334,22.125,0
"62433",17.3124995082617,17.3125,-0
"62434",3.50000001490116,3.5,0
"62435",7.62500017881393,7.625,0
"62436",7.50000011175871,7.5,0
"62438",98.999997228384,28.5625,70.4375
"63070",5.43750021606684,5.4375,0
"63071",8.68749965447932,8.6875,-0
"63072",11.1874999478459,11.1875,-0
"63073",24.0625001024455,24.0625,0
"63074",16.5624996647239,16.5625,-0
"63075",31.8749994039536,31.875,-0
"63076",66.1875003948808,66.1875,0
"63077",13.2499996572733,13.25,-0
"63078",26.562500372529,26.5625,0
"63079",6.93749990314245,6.9375,-0
"63080",7.06249997019768,7.0625,-0
"63081",5.74999996460974,5.75,-0
"63082",6.43749991431832,6.4375,-0
"63083",12.8125000512227,12.8125,0
"63084",23.624999448657,23.625,-0
"63085",11.3124999217689,11.3125,-0
"63086",4.81249997392297,4.8125,-0
"63087",17.1874997206032,17.1875,-0
"63088",133.247539401054,64.5625,68.685
"63089",100.875003263354,19.4375,81.4375
"63720",4.08333335071802,3.0625,1.0208
"63721",3.50000001490116,3.5,0
"63722",14.6874998696148,14.6875,-0
"63723",26.375000551343,26.375,0
"63724",13.3125001564622,13.3125,0
"63725",40.2500003576279,40.25,0
"63726",32.0000004023314,32,0
"63727",23.1249999254942,23.125,-0
"63728",11.8125001899898,11.8125,0
"63729",35.4375012218952,35.4375,0
"63730",6.56250019092113,6.5625,0
"63731",5.18749989569187,5.1875,-0
"63732",5.93750001862645,5.9375,0
"63733",5.8750000433065,5.875,0
"63734",6.25,6.25,0
"63735",16.8750006705523,16.875,0
"63736",37.8749999217689,37.875,-0
"63737",26.1250008828938,26.125,0
"63738",29.4999996200204,29.5,-0
"63739",19.9999991804361,20,-0
"64370",5.8124999050051,5.8125,-0
"64371",9.9999999627471,10,-0
"64372",10.2499998174608,10.25,-0
"64373",10.0624999962747,10.0625,-0
"64374",6.93750008940697,6.9375,0
"64375",123.062497377396,46.875,76.1875
"64376",119.124998152256,47.8125,71.3125
"64377",9.74999982863665,9.75,-0
"64378",0,0,0
"64379",24.7499998658895,24.75,-0
"64380",66.5625005960464,66.5625,0
"64381",8.68750018998981,8.6875,0
"64382",16.9375004246831,16.9375,0
"64383",6.81250002235174,6.8125,0
"64384",2.74999991524965,2.75,-0
"64385",180.812507122755,32.1875,148.625
"64386",273.874992877245,121.4375,152.4375
"64387",8.87500006938353,8.875,0
