new2kid,urban_ha,farm_ha,wood_ha,sng_ha,water_ha
"27077",0,3.3125,0,273.9375,122.75
"27080",0,1.5,0,350.625,47.875
"27081",0,3.8125,0,309.125,87.0625
"27082",0,7.8125,0,308.9375,83.25
"27083",0,0,0,294.25,105.75
"27084",0,0,0,370.125,29.875
"27085",0,0,0,393.375,6.625
"27086",0,8.0625,0,353.9375,38
"27087",0,66.3125,0,222.875,110.8125
"27716",0,0,0,241,159
"27717",0,1.1875,0,389.9375,8.875
"27718",0,0,0,314.0625,85.9375
"27724",0,0,0,336.875,63.125
"27726",0,0,0,330.5625,69.4375
"27728",0,55.375,0,204.3125,140.3125
"27730",0,0,0,279.5,120.5
"27731",0,17.5,0,254.6875,127.8125
"27733",0,0,0,265.125,134.875
"27734",0,0,0,197.6875,202.3125
"27735",0,0,0,309.625,90.375
"27736",0,28.5,0,250.75,120.75
"28367",0,0,0,188.125,211.875
"28374",0,3.1875,0,276.75,120.0625
"28379",0,0,0,250.1875,149.8125
"28380",0,0,0,343.875,56.125
"28381",0,25.875,0,252.6875,121.4375
"28382",0,0,0,300.8125,99.1875
"28383",0,0,0,306.375,93.625
"28384",0,0,1.3125,296.6875,102
"28385",0,0,0,226.75,173.25
"28386",0,0.8125,0,377.1875,22
"28387",0,100.875,0,229.375,69.75
"29029",0,0,0,250.5,149.5
"29030",0,0,0,267.8125,132.1875
"29031",0,8.8125,0,177.0625,214.125
"29032",0,0,0,314.875,85.125
"29033",0,0.9375,0,310.6875,88.375
"29034",0,0,0,287.8125,112.1875
"29035",0,9.4375,0,331.4375,59.125
"29036",0,0,0,267.625,132.375
"29037",0,19.25,0,327.375,53.375
"29038",0,57,0,335,8
"29679",0,0,0,271.1875,128.8125
"29680",0,0,0,311.9375,88.0625
"29681",0,0,0,195.625,204.375
"29682",0,0,0,303.5,96.5
"29683",0,0.9375,0,327.1875,71.875
"29684",0,62.625,0,197.6875,139.6875
"29688",0,0,0.8125,367.875,31.3125
"30332",0,0,0,375.5,24.5
"30333",0,0,0,255,145
"30336",0,0,0,307.1875,92.8125
"30920",0,66.6875,0,178.9375,154.375
"30921",0,260.375,0,118,21.625
"30922",0,270.9375,0,129.0625,0
"30923",0,170.0625,0,141.1875,88.75
"30985",0,0,0.1875,324.375,75.4375
"30986",0,2.25,0,291.4375,106.3125
"31569",0,200.9375,0,37,162.0625
"31570",0,345.1875,0,51.5,3.3125
"31571",0,166.3125,0,229.625,4.0625
"31572",0,139.375,0,255.125,5.5
"31573",0,177.9375,0,174.8125,47.25
"31636",0,0.4375,0,253.5625,146
"31646",0,0,0,391.0625,8.9375
"32221",0,140,0,131.5625,128.4375
"32222",0,161.75,0,230.625,7.625
"32223",0,268.25,0,54.8125,76.9375
"32294",0,4.4375,0,205.75,189.8125
"32295",0,10.6875,0,239.9375,149.375
"32312",0,29.4375,0,200.625,169.9375
"32313",0,13.375,0,353.6875,32.9375
"32872",0,199.0625,0,167.125,33.8125
"32873",0,216.375,0,73.4375,110.1875
"32943",0,2.5,0,184.375,213.125
"32944",0,0,0,392.5,7.5
"32945",0,0,0,400,0
"32946",0,50.375,0,246.875,102.75
"32954",0,0,0,298.0625,101.9375
"32955",0,0,0,396.3125,3.6875
"32956",0,0,4.0625,323.625,72.3125
"32960",0,0,0,383.9375,16.0625
