"","new2kid","sr_100_2000","sr_100_2031"
"318",36209,27,27
"319",36210,26,26
"320",36211,26,26
"321",36212,27,27
"322",36213,25,25
"323",36214,0,0
"324",36215,0,0
"325",36776,0,0
"326",36846,0,0
"327",36847,24,24
"328",36848,25,25
"329",36849,0,0
"330",36851,0,0
"331",36852,0,0
"332",36853,28,28
"333",36854,27,27
"334",36855,27,27
"335",36856,26,26
"336",36857,27,27
"337",36858,27,27
"338",36859,27,27
"339",36860,27,27
"340",36861,26,26
"341",36862,25,25
"342",36863,24,24
"343",36864,0,0
"344",37426,0,0
"345",37427,0,0
"346",37473,0,0
"347",37474,0,0
"348",37496,0,0
"349",37497,0,0
"350",37498,0,0
"351",37499,0,0
"352",37500,0,0
"353",37501,0,0
"354",37502,27,27
"355",37503,26,26
"356",37504,25,25
"357",37505,24,24
"358",37506,25,25
"359",37507,24,24
"360",37508,27,27
"361",37509,30,30
"362",37510,28,28
"363",37511,27,27
"364",37512,27,27
"365",37513,26,26
"366",37514,0,0
"367",37515,0,0
"368",38026,0,0
"369",38077,0,0
"370",38078,0,0
"371",38120,0,0
"372",38121,0,0
"373",38122,0,0
"374",38123,0,0
"375",38124,0,0
"376",38125,0,0
"377",38126,0,0
"378",38127,0,0
"379",38146,0,0
"380",38147,0,0
"381",38150,0,0
"382",38151,25,25
"383",38152,26,26
"384",38153,25,25
"385",38154,24,24
"386",38155,24,24
"387",38156,24,24
"388",38157,26,26
"389",38158,26,26
"390",38159,26,26
"391",38160,26,26
"392",38161,31,31
"393",38162,26,26
"394",38163,26,26
"395",38164,26,26
"396",38165,0,0
"397",38166,0,0
"398",38676,0,0
"399",38677,0,0
"400",38678,0,0
"401",38679,0,0
"402",38727,0,0
"403",38728,0,0
"404",38729,0,0
"405",38770,0,0
"406",38771,29,29
"407",38772,29,29
"408",38773,29,29
"409",38774,0,0
"410",38775,0,0
"411",38776,0,0
"412",38799,0,0
"413",38800,0,0
"414",38801,27,27
"415",38802,0,0
"416",38803,0,0
"417",38804,0,0
"418",38805,0,0
"419",38806,0,0
"420",38807,23,23
"421",38808,33,33
"422",38809,32,32
"423",38810,20,20
"424",38811,31,31
"425",38812,28,28
"426",38813,24,24
"427",38814,27,27
"428",38815,0,0
"429",38819,0,0
"430",38820,0,0
"431",38821,0,0
"432",39327,0,0
"433",39328,0,0
"434",39329,0,0
"435",39330,0,0
"436",39331,0,0
"437",39332,0,0
"438",39333,0,0
"439",39334,0,0
"440",39377,0,0
"441",39378,0,0
"442",39379,0,0
"443",39380,0,0
"444",39419,0,0
"445",39420,0,0
"446",39421,34,34
"447",39422,28,28
"448",39423,0,0
"449",39424,0,0
"450",39449,0,0
"451",39450,0,0
"452",39451,0,0
"453",39452,0,0
"454",39456,0,0
"455",39457,21,21
"456",39458,27,27
"457",39459,29,29
"458",39460,22,22
"459",39461,22,22
"460",39462,23,23
"461",39463,24,24
"462",39464,26,26
"463",39465,0,0
"464",39468,0,0
"465",39469,0,0
"466",39470,25,25
"467",39471,0,0
"468",39472,0,0
"469",39978,0,0
"470",39979,0,0
"471",39980,28,28
"472",39981,23,23
"473",39982,36,36
"474",39983,23,23
"475",39984,0,0
"476",39985,0,0
"477",40029,0,0
"478",40030,0,0
"479",40069,0,0
"480",40070,32,32
"481",40071,34,34
"482",40072,31,31
"483",40073,0,0
"484",40076,0,0
"485",40080,0,0
"486",40081,0,0
"487",40099,0,0
"488",40102,0,0
"489",40103,0,0
"490",40104,0,0
"491",40105,0,0
"492",40106,0,0
"493",40107,25,25
"494",40108,21,21
"495",40109,27,27
"496",40110,28,28
"497",40111,25,25
"498",40112,23,23
"499",40113,24,24
"500",40114,28,28
"501",40115,0,0
"502",40116,0,0
"503",40117,0,0
"504",40118,0,0
"505",40119,23,23
"506",40120,27,27
"507",40121,27,27
"508",40122,0,0
"509",40629,0,0
"510",40630,0,0
"511",40631,0,0
"512",40632,30,30
"513",40633,27,27
"514",40634,26,26
"515",40635,0,0
"516",40679,0,0
"517",40680,0,0
"518",40681,0,0
"519",40719,0,0
"520",40720,0,0
"521",40721,0,0
"522",40722,0,0
"523",40723,0,0
"524",40724,0,0
"525",40725,0,0
"526",40726,0,0
"527",40727,0,0
"528",40729,0,0
"529",40730,0,0
"530",40731,0,0
"531",40732,0,0
"532",40751,0,0
"533",40752,0,0
"534",40753,31,31
"535",40754,30,30
"536",40755,27,27
"537",40756,26,26
"538",40757,24,24
"539",40758,23,23
"540",40759,25,25
"541",40760,26,26
"542",40761,25,25
"543",40762,24,24
"544",40763,24,24
"545",40764,26,26
"546",40765,27,27
"547",40766,22,22
"548",40767,25,25
"549",40768,25,25
"550",40769,24,24
"551",40770,25,25
"552",40771,26,26
"553",40772,0,0
"554",40773,0,0
"555",41281,0,0
"556",41282,0,0
"557",41283,0,0
"558",41284,0,0
"559",41285,0,0
"560",41286,0,0
"561",41331,0,0
"562",41372,0,0
"563",41373,27,27
"564",41374,23,23
"565",41375,22,22
"566",41376,20,20
"567",41377,0,0
"568",41378,0,0
"569",41379,0,0
"570",41380,0,0
"571",41402,0,0
"572",41403,27,27
"573",41404,29,29
"574",41405,25,25
"575",41406,25,25
"576",41407,29,29
"577",41408,25,25
"578",41409,24,24
"579",41410,21,21
"580",41411,22,22
"581",41412,24,24
"582",41413,26,26
"583",41414,25,25
"584",41415,23,23
"585",41416,28,28
"586",41417,26,26
"587",41418,26,26
"588",41419,24,24
"589",41420,26,26
"590",41421,27,27
"591",41422,22,22
"592",41423,0,0
"593",41920,0,0
"594",41921,0,0
"595",41922,0,0
"596",41923,0,0
"597",41928,0,0
"598",41932,0,0
"599",41933,0,0
"600",41936,0,0
"601",42021,0,0
"602",42022,0,0
"603",42023,26,26
"604",42024,25,25
"605",42025,22,22
"606",42026,25,25
"607",42027,26,26
"608",42028,0,0
"609",42029,0,0
"610",42051,0,0
"611",42052,0,0
"612",42053,26,26
"613",42054,28,28
"614",42055,25,25
"615",42056,24,24
"616",42057,26,26
"617",42058,26,26
"618",42059,20,20
"619",42060,22,22
"620",42061,26,26
"621",42062,25,25
"622",42063,25,25
"623",42064,24,24
"624",42065,28,28
"625",42066,27,27
"626",42067,27,27
"627",42068,26,26
"628",42069,26,26
"629",42070,26,26
"630",42071,26,26
"631",42072,27,27
"632",42073,0,0
"633",42074,0,0
"634",42570,0,0
"635",42571,0,0
"636",42572,37,37
"637",42573,0,0
"638",42577,0,0
"639",42578,0,0
"640",42579,0,0
"641",42581,0,0
"642",42582,0,0
"643",42583,0,0
"644",42584,0,0
"645",42585,0,0
"646",42610,0,0
"647",42611,0,0
"648",42649,0,0
"649",42665,0,0
"650",42666,0,0
"651",42670,0,0
"652",42671,0,0
"653",42672,24,24
"654",42673,26,26
"655",42674,18,18
"656",42675,18,18
"657",42676,18,18
"658",42677,0,0
"659",42678,0,0
"660",42701,0,0
"661",42702,31,31
"662",42703,25,25
"663",42704,27,27
"664",42705,50,50
"665",42706,25,25
"666",42707,26,26
"667",42708,24,24
"668",42709,24,24
"669",42710,17,17
"670",42711,29,29
"671",42712,28,28
"672",42713,25,25
"673",42714,25,25
"674",42715,29,29
"675",42716,28,28
"676",42717,26,26
"677",42718,26,26
"678",42719,27,27
"679",42720,27,27
"680",42721,28,28
"681",42722,27,27
"682",42723,17,17
"683",42724,0,0
"684",43221,0,0
"685",43222,0,0
"686",43223,0,0
"687",43224,0,0
"688",43225,0,0
"689",43226,0,0
"690",43227,0,0
"691",43228,31,31
"692",43229,0,0
"693",43231,0,0
"694",43232,30,30
"695",43233,28,28
"696",43234,28,28
"697",43235,0,0
"698",43236,0,0
"699",43258,0,0
"700",43259,0,0
"701",43260,0,0
"702",43261,0,0
"703",43262,0,0
"704",43298,0,0
"705",43299,0,0
"706",43300,0,0
"707",43313,0,0
"708",43314,0,0
"709",43315,0,0
"710",43316,0,0
"711",43319,0,0
"712",43320,0,0
"713",43321,21,21
"714",43322,25,25
"715",43323,26,26
"716",43324,19,19
"717",43325,18,18
"718",43326,0,0
"719",43327,0,0
"720",43351,0,0
"721",43352,0,0
"722",43353,25,25
"723",43354,26,26
"724",43355,49,49
"725",43356,26,26
"726",43357,26,26
"727",43358,27,27
"728",43359,0,0
"729",43360,0,0
"730",43361,0,0
"731",43362,28,28
"732",43363,25,25
"733",43364,27,27
"734",43365,26,26
"735",43366,27,27
"736",43367,28,28
"737",43368,27,27
"738",43369,28,28
"739",43370,28,28
"740",43371,28,28
"741",43372,22,22
"742",43373,22,22
"743",43374,0,0
"744",43562,0,0
"745",43873,0,0
"746",43874,28,28
"747",43875,37,37
"748",43876,37,37
"749",43877,28,28
"750",43878,28,28
"751",43879,0,0
"752",43880,0,0
"753",43881,0,0
"754",43882,22,22
"755",43883,19,19
"756",43884,26,26
"757",43885,27,27
"758",43886,0,0
"759",43887,0,0
"760",43908,0,0
"761",43909,0,0
"762",43910,0,0
"763",43911,0,0
"764",43923,0,0
"765",43924,0,0
"766",43926,0,0
"767",43947,0,0
"768",43948,0,0
"769",43949,25,25
"770",43950,0,0
"771",43951,0,0
"772",43962,0,0
"773",43963,0,0
"774",43964,27,27
"775",43965,24,24
"776",43966,0,0
"777",43967,0,0
"778",43969,0,0
"779",43970,29,29
"780",43971,24,24
"781",43972,21,21
"782",43973,19,19
"783",43974,18,18
"784",43975,17,17
"785",43976,0,0
"786",44002,0,0
"787",44003,0,0
"788",44004,0,0
"789",44005,0,0
"790",44006,0,0
"791",44007,26,26
"792",44008,25,25
"793",44009,0,0
"794",44011,0,0
"795",44012,25,25
"796",44013,28,28
"797",44014,28,28
"798",44015,21,21
"799",44016,25,25
"800",44017,26,26
"801",44018,27,27
"802",44019,28,28
"803",44020,27,27
"804",44021,27,27
"805",44022,28,28
"806",44023,28,28
"807",44024,0,0
"808",44025,0,0
"809",44211,0,0
"810",44212,0,0
"811",44213,0,0
"812",44214,0,0
"813",44215,0,0
"814",44216,0,0
"815",44523,0,0
"816",44524,38,38
"817",44525,37,37
"818",44526,28,28
"819",44527,27,27
"820",44528,24,24
"821",44529,23,23
"822",44530,19,19
"823",44531,18,18
"824",44532,20,20
"825",44533,23,23
"826",44534,24,24
"827",44535,25,25
"828",44536,26,26
"829",44537,0,0
"830",44538,0,0
"831",44559,0,0
"832",44560,0,0
"833",44572,0,0
"834",44573,0,0
"835",44574,0,0
"836",44575,0,0
"837",44576,0,0
"838",44596,0,0
"839",44597,0,0
"840",44598,29,29
"841",44599,28,28
"842",44600,26,26
"843",44601,0,0
"844",44610,0,0
"845",44611,0,0
"846",44613,0,0
"847",44614,23,23
"848",44615,24,24
"849",44616,0,0
"850",44618,0,0
"851",44619,0,0
"852",44620,25,25
"853",44621,21,21
"854",44622,18,18
"855",44623,18,18
"856",44624,18,18
"857",44625,21,21
"858",44626,0,0
"859",44627,0,0
"860",44634,0,0
"861",44653,0,0
"862",44656,0,0
"863",44657,26,26
"864",44658,26,26
"865",44659,0,0
"866",44661,0,0
"867",44662,0,0
"868",44663,24,24
"869",44664,26,26
"870",44665,25,25
"871",44666,25,25
"872",44667,26,26
"873",44668,27,27
