new2kid,rec,rec_ha
183428,7928.45589685294,34.0733997021024
183429,124541.496331433,504.344099677966
183430,0,0
183431,0,0
183432,8098.32247486791,86.3245106850619
183433,13382.2073559446,134.748401445181
183434,30809.6677510731,114.189157439389
183435,0,0
183436,0,0
183437,26737.5086593649,86.1458192810789
183438,39189.5463229365,115.348186380976
183439,0,0
183440,14012.4555728091,39.4023355298674
183441,15204.5964774469,39.2250150982184
183442,52515.7607400209,137.363423565407
183443,43852.6713932848,130.102473245054
183444,40832.8125791117,118.463265003658
183445,0,0
183446,0,0
183447,29169.637472056,88.275795145122
183448,24117.6888755487,92.782627502447
183449,0,0
183450,21640.9430271212,65.7654389024859
183451,114366.423314037,320.803431455924
183452,0,0
183453,0,0
183454,-4727.00299225108,-17.1851929397553
183455,17197.4367452662,69.8905085120275
183456,60442.9697310791,205.938568078634
183457,0,0
183458,12831.5985725452,45.00341454641
183459,62300.9600560092,247.471539447902
183460,0,0
183461,0,0
183462,3497.22074050046,14.417809923669
183463,-4896.53411357498,-20.600717679891
183464,94467.4731561857,283.579656754028
183465,112065.709932295,614.479560972146
183466,-465309.359513928,-2540.07087006693
184002,0,0
184003,973.898849676407,12.3375864804064
184004,73400.9770153164,242.54763160782
184005,50834.6925487438,171.811381660309
184006,72873.1432433302,211.686690612434
184007,0,0
184008,0,0
184009,0,0
184010,-77751.9565674429,-503.045249754503
184011,-120372.044502786,-739.897088024167
184012,-18914.2566826998,-84.6749040076096
184013,0,0
184014,-549.19956587956,-2.35897749446737
184015,-55073.572153867,-243.553663477577
184016,-125479.674141108,-968.955012672646
184017,-25213.6222999093,-137.123710672518
184018,-124480.92365464,-638.568216614193
184019,0,0
184020,4661.33074887009,20.5514674953837
184021,-41833.8235836524,-184.289971734151
184022,-185314.221035713,-922.821910461837
184023,222926.184924776,758.897650807747
184024,34615.1656416152,150.95190229063
184025,26640.8701972635,126.899024006251
184026,0,0
184027,-88503.689124148,-727.676786221156
184028,-228831.478567904,-1412.5399911599
184029,-142101.415482192,-749.134118091524
184030,-48008.2681202599,-175.935018306037
184031,-66446.0304226284,-480.404926542301
184032,-71895.6050662916,-630.3173571544
184033,-49853.2883111261,-255.575907887629
184034,-11196.1443233958,-53.8276169394028
184035,10924.1607251683,62.895473654665
184036,7810.46140960047,66.0853144819439
184038,0,0
184039,0,0
184040,314963.869881721,965.221441472972
184041,360207.160798412,1206.47134343678
184042,33108.0049280298,94.4425037073407
184043,-6987.40883565834,-38.9270687223306
184044,0,0
184045,120566.397041466,387.595347114162
184046,122069.296893834,494.332663840855
184047,43909.9248422192,901.871727828144
184048,0,0
184049,254204.404524358,660.914928890109
184050,210065.177724382,702.999849652842
184051,0,0
184052,30286.6214756728,94.3508457186068
184053,327489.156350047,1355.01045192459
