new2kid,sr_chg_perc,sr_chg_ha
38773,11,1.12101910828025
38774,0,0
38775,0,0
38776,0,0
38799,0,0
38800,0,0
38801,10,Inf
38802,0,0
38803,0,0
38804,0,0
38805,0,0
38806,0,0
38807,7,Inf
38808,12,Inf
38809,7,Inf
38810,2,Inf
38811,10,Inf
38812,9,Inf
38813,7,Inf
38814,9,Inf
38815,0,0
38819,0,0
38820,0,0
38821,0,0
39327,0,0
39328,0,0
39329,0,0
39330,0,0
39331,0,0
39332,0,0
39333,0,0
39334,0,0
39377,0,0
39378,0,0
39379,0,0
39380,0,0
39419,0,0
39420,0,0
39421,15,Inf
39422,11,Inf
39423,0,0
39424,0,0
39449,0,0
39450,0,0
39451,0,0
39452,0,0
39456,0,0
39457,1,Inf
39458,10,Inf
39459,11,Inf
39460,3,Inf
39461,4,Inf
39462,5,Inf
39463,7,Inf
39464,8,7.52941176470588
39465,0,0
39468,0,0
39469,0,0
39470,8,Inf
39471,0,0
39472,0,0
39978,0,0
39979,0,0
39980,9,1.05109489051095
39981,4,0.15421686746988
39982,13,1.30817610062893
39983,6,0.073959938366718
39984,0,0
39985,0,0
40029,0,0
40030,0,0
40069,0,0
40070,13,Inf
40071,14,Inf
40072,13,Inf
40073,0,0
40076,0,0
40080,0,0
40081,0,0
40099,0,0
40102,0,0
40103,0,0
40104,0,0
40105,0,0
40106,0,0
40107,6,Inf
40108,4,0.0745052386495925
40109,11,3.14285714285714
40110,10,Inf
40111,6,Inf
40112,6,Inf
40113,7,Inf
40114,10,17.7777777777778
40115,0,0
40116,0,0
40117,0,0
40118,0,0
40119,6,Inf
40120,11,Inf
40121,11,Inf
40122,0,0
40629,0,0
40630,0,0
40631,0,0
40632,7,0.16398243045388
40633,6,0.384
40634,7,0.275862068965517
40635,0,0
40679,0,0
40680,0,0
40681,0,0
40719,0,0
40720,0,0
40721,0,0
40722,0,0
40723,0,0
40724,0,0
40725,0,0
40726,0,0
40727,0,0
40729,0,0
40730,0,0
40731,0,0
40732,0,0
40751,0,0
40752,0,0
40753,10,Inf
40754,12,Inf
40755,11,Inf
40756,10,Inf
40757,6,1.74545454545455
40758,3,0.0554913294797688
40759,8,1.14285714285714
40760,9,1.87012987012987
40761,7,Inf
40762,6,Inf
40763,7,Inf
40764,9,Inf
40765,9,Inf
40766,4,Inf
40767,8,Inf
40768,9,Inf
40769,7,Inf
40770,9,Inf
40771,10,Inf
40772,0,0
40773,0,0
