new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"53321",0.59671875,0.0509375,0.27421875,0.078125,0
"53322",0.4315625,0.07484375,0.0690625,0.0771875,0.34734375
"53958",0.504375,0.18140625,0.1209375,0.0378125,0.15546875
"53959",0.50453125,0.064375,0.0065625,0.12,0.30453125
"53960",0.7753125,0.07875,0.06703125,0.0478125,0.03109375
"53961",0.8078125,0.1309375,0.054375,0.006875,0
"53962",0.7725,0.0934375,0.018125,0.1159375,0
"53963",0.3871875,0.0890625,0.0403125,0.4834375,0
"53964",0.645625,0.05984375,0.0396875,0.25484375,0
"53965",0.80625,0.11625,0.053125,0.024375,0
"53966",0.63078125,0.29890625,0.06125,0.0090625,0
"53967",0.74984375,0.1878125,0.054375,0.00796875,0
"53968",0.71453125,0.20328125,0.045625,0.0365625,0
"53969",0.62765625,0.25859375,0.03625,0.0775,0
"53970",0.09515625,0.18359375,0.01109375,0.71015625,0
"53971",0,0.0813685,0.0186315,0.9,0
"53972",0.42789875,0.13953125,0.164375,0.2647575,0.0034375
"54607",0.29546875,0.64765625,0.02640625,0.03046875,0
"54608",0.33703125,0.54953125,0.00765625,0.10265625,0.003125
"54609",0.7146875,0.20078125,0.0265625,0.05796875,0
"54610",0.72515625,0.11671875,0.128125,0.03,0
"54611",0.68796875,0.23625,0.0259375,0.04984375,0
"54612",0.69109375,0.1259375,0.06640625,0.1165625,0
"54613",0.68125,0.17828125,0.1009375,0.03953125,0
"54614",0.76328125,0.078125,0.12421875,0.034375,0
"54615",0.765,0.1571875,0.0609375,0.016875,0
"54616",0.635625,0.30203125,0.03828125,0.0240625,0
"54617",0.61328125,0.28015625,0.10296875,0.00359375,0
"54618",0.51609375,0.35546875,0.060625,0.0678125,0
"54619",0.61703125,0.2640625,0.03859375,0.0803125,0
"54620",0.22484375,0.25328125,0.05078125,0.47109375,0
"54621",0.26484375,0.13734375,0.09875,0.4990625,0
"54622",0.70125,0.1821875,0.0534375,0.063125,0
"54623",0.61296875,0.08515625,0.0684375,0.1175,0.1159375
"55256",0.593125,0.0753125,0.070625,0.08625,0.1746875
"55257",0.71265625,0.220625,0.019375,0.04734375,0
"55258",0.50484375,0.355,0.1125,0.02765625,0
"55259",0.29484375,0.65046875,0.0403125,0.014375,0
"55260",0.37765625,0.4228125,0.1871875,0.01234375,0
"55261",0.5959375,0.15078125,0.2103125,0.031875,0.01109375
"55262",0.5078125,0.1184375,0.29046875,0.0371875,0.04609375
"55263",0.654375,0.08078125,0.2128125,0.0325,0.01953125
"55264",0.74203125,0.0490625,0.205625,0.00328125,0
"55265",0.7975,0.12703125,0.0521875,0.02328125,0
"55266",0.809375,0.1290625,0.04171875,0.01984375,0
"55267",0.6703125,0.1546875,0.08890625,0.04546875,0.040625
"55268",0.5340625,0.19625,0.0825,0.01703125,0.17015625
"55269",0.73046875,0.2071875,0.00703125,0.0553125,0
"55270",0.31828125,0.1784375,0.02015625,0.483125,0
"55271",0.11171875,0.1796875,0.0278125,0.68078125,0
"55272",0.84,0.0934375,0.0034375,0.063125,0
"55273",0.71640625,0.0703125,0.096875,0.11640625,0
"55274",0.69875,0.21453125,0.06234375,0.024375,0
"55275",0.3659375,0.32734375,0.05546875,0.0975,0.15375
"55908",0.4340625,0.29140625,0.13203125,0.0159375,0.1265625
"55909",0.17078125,0.8071875,0.02203125,0,0
"55910",0.20015625,0.76359375,0.00390625,0.03234375,0
"55911",0.68984375,0.1525,0.131875,0.02578125,0
"55912",0.60578125,0.05375,0.24078125,0.04,0.0596875
"55913",0.6115625,0.004375,0.27125,0.00375,0.1090625
"55914",0.62546875,0.06296875,0.231875,0.07578125,0.00390625
"55915",0.69859375,0.1640625,0.1340625,0.00328125,0
"55916",0.5734375,0.3440625,0.0571875,0.0253125,0
"55917",0.746875,0.175625,0.030625,0.046875,0
"55918",0.60984375,0.24859375,0.03515625,0.10640625,0
"55919",0.71421875,0.18765625,0.0675,0.030625,0
"55920",0.4871875,0.32296875,0.08796875,0.101875,0
"55921",0.50234375,0.17609375,0.17640625,0.14515625,0
"55922",0.609375,0.21890625,0.035,0.13671875,0
"55923",0.7915625,0.12390625,0.04578125,0.03875,0
"55924",0.7684375,0.14515625,0.016875,0.06953125,0
"55925",0.4965625,0.2228125,0.05078125,0.18203125,0.0478125
"56558",0.41546875,0.151875,0.07140625,0.00890625,0.35234375
"56559",0.511875,0.30640625,0.15140625,0.0303125,0
"56560",0.690625,0.1675,0.128125,0.01375,0
"56561",0.81890625,0.08515625,0.065,0.0309375,0
"56562",0.70140625,0.11671875,0.1659375,0.00640625,0.00953125
"56563",0.36296875,0.065,0.20484375,0.02984375,0.33734375
"56564",0.63328125,0.12421875,0.19953125,0.03375,0.00921875
"56565",0.58515625,0.1315625,0.26515625,0.0084375,0.0096875
"56566",0.7825,0.16046875,0.041875,0.01109375,0.0040625
"56567",0.70484375,0.2065625,0.0678125,0.02078125,0
"56568",0.60234375,0.1353125,0.19578125,0.0665625,0
"56569",0.5978125,0.14515625,0.22296875,0.0340625,0
"56570",0.55390625,0.278125,0.07140625,0.0965625,0
"56571",0.4753125,0.3378125,0.0296875,0.1571875,0
"56572",0.655,0.2496875,0.02125,0.0740625,0
"56573",0.89734375,0.0584375,0.01015625,0.0340625,0
"56574",0.85015625,0.09234375,0.04625,0.01125,0
"56575",0.835,0.0971875,0.05875,0.0090625,0
"56576",0.58859375,0.150625,0.0590625,0.17375,0.02796875
"57208",0.4478125,0.24890625,0.06125,0.02921875,0.2128125
"57209",0.3059375,0.52203125,0.130625,0.04140625,0
"57210",0.6915625,0.08703125,0.2184375,0.00296875,0
"57211",0.79890625,0.0890625,0.0784375,0.03359375,0
"57212",0.65828125,0.0778125,0.210625,0.02125,0.03203125
"57213",0.3534375,0.0946875,0.10046875,0.0734375,0.37796875
"57214",0.78125,0.04140625,0.11015625,0.06546875,0.00171875
"57215",0.6584375,0.0790625,0.2390625,0.0234375,0
"57216",0.59015625,0.1628125,0.16796875,0.055,0.0240625
"57217",0.27703125,0.1409375,0.0884375,0.49359375,0
"57218",0.6028125,0.10625,0.2203125,0.070625,0
"57219",0.5378125,0.246875,0.1546875,0.060625,0
"57220",0.6896875,0.20546875,0.03640625,0.0684375,0
"57221",0.68171875,0.25046875,0.02578125,0.04203125,0
"57222",0.6528125,0.221875,0.04,0.0853125,0
"57223",0.90015625,0.0715625,0.02546875,0.0028125,0
"57224",0.755,0.12171875,0.0865625,0.03671875,0
"57225",0.894375,0.0771875,0.0134375,0.015,0
"57226",0.6765625,0.05015625,0.1925,0.08078125,0
"57227",0.4534375,0.113125,0.0025,0.03859375,0.39234375
"57228",0.111875,0.11515625,0.00078125,0,0.7721875
"57229",0.54703125,0.09765625,0.01671875,0.03828125,0.3003125
"57860",0.67796875,0.114375,0.1440625,0.06359375,0
"57861",0.67671875,0.08546875,0.14890625,0.04015625,0.04875
"57862",0.318125,0.1190625,0.156875,0.036875,0.3690625
"57864",0.32875,0.06390625,0.17578125,0.03828125,0.39328125
"57865",0.5328125,0.0675,0.11578125,0.27203125,0.011875
"57866",0,0.03770825,0.046823,0.9,0.01546875
