new2kid,ghg,rec,flooding,totn,totp,hectares_chg
86636,217918.893489015,-443465.879150823,0,0,0,148.68755
86725,318274.504761157,0,9540.3917706876,0,0,207.5
86726,484424.677919145,0,12154.9416533379,151.478747146372,39.5015481158,317.18755
86727,447070.151549023,0,20469.3519028369,2708.89374415476,705.765141602426,293.31255
86728,470797.581484346,0,21939.5599731934,2774.11847213628,721.997583748404,319.25
86729,205828.50376946,0,10982.3726402476,1245.48470711985,323.802728387358,153.125
86730,266895.240896251,0,13997.634984363,1570.36971009665,408.503449629785,186.43755
86731,290908.774510969,0,9506.28399668209,9945.02437543695,2233.65448480159,212.5
86732,78888.0112192363,0,763.911881894845,4974.58353168349,1099.33597914813,58.125
86733,68737.8598097603,0,452.674118630059,2358.55348922254,491.806605127646,49.93755
86734,164624.528947976,0,479.280304885461,6544.40221243237,1363.20483423931,119.68755
86735,137617.756582054,0,398.166544484236,8969.07437900073,1928.49972892331,100.18755
86736,137794.882321667,0,1067.46717642825,11673.2963380462,2546.90346922484,107.43755
86737,188931.24016235,0,2020.92350033633,16802.0725636747,3492.5670799769,152.68755
86738,332672.41698534,0,3638.44332543121,30870.8264198104,6432.48196589885,294
86739,251966.848036136,0,3184.81461359602,27555.0119774371,5846.38509019203,239.25
86740,140586.180462468,0,2813.20579780578,54437.9241334978,12686.7105929849,144.43755
86741,100586.367531586,0,2513.14334376618,53588.3749919841,12591.8055331293,117.75
86742,8720.86709829223,0,328.139623206326,6873.84919161932,1616.26001641403,15.625
86743,-1558.42344383992,0,546.987650814366,15915.5700399295,3709.06354765786,30.68755
86744,-4926.25271660555,0,854.97482517647,40008.5280333357,9230.292280205,58.81255
86745,-14024.7552642948,0,2290.69634938011,66440.9504999803,14317.7030987511,118.93755
86746,-4241.05637653453,0,602.44289795936,13956.7982029459,2868.32729632905,27.93755
86747,-1697.53097513393,0,159.461091312999,4053.15511965411,839.720363783727,8.93755
86748,-9099.79516985845,0,846.609545035313,16925.1630008599,3613.74602743145,42.43755
86749,-1833.79571746159,0,182.003710964555,3157.2900224851,682.328833649916,7.93755
86750,-6566.32914750005,0,552.10481363687,9747.17407680096,2103.23802296424,23.93755
86751,-2097.47390979043,0,124.189879440064,1960.29091319372,422.495483599488,7.18755
86752,-1265.53187434428,0,93.0203744834677,15.9008726694983,2.64051995199958,4.43755
86753,0,0,0,0,0,0
86754,-384.51620840197,0,127.878947353484,8.21996789553853,1.47412541028726,1.625
86755,0,0,0,0,0,0
86756,7345.29613728136,0,1651.29740925292,1468.88256375395,251.90184077,151.06255
86757,1031.01220074214,0,184.075197134249,96.1158881924809,18.700367830772,2.31255
86758,0,0,0,0,0,0
86759,0,0,0,0,0,0
86760,0,0,0,0,0,0
86761,0,0,0,0,0,0
86762,936.539143330192,0,15195.2731782596,5284.90489954585,1046.72227488059,63.43755
86763,11034.8325469206,0,37639.5010436639,13024.4697742756,2556.10273713556,114.25
86764,690.781996405916,0,35363.4771261969,14155.5028302997,2759.0561426022,88.31255
86765,0,0,0,0,0,0
86766,0,0,0,0,0,0
86767,-990.345551511802,0,13516.5782297456,-15790.4479582792,-814.348969103565,10.43755
86768,-1415.9614995414,0,23418.3232062531,-27443.2703516016,-1425.26001641641,17.375
86769,17990.4956005341,0,488726.73937572,-786596.349877599,-43527.0240482741,343.93755
86770,84504.6350011132,0,422839.417621179,-1027155.9996193,-56828.1336042714,372.68755
86771,335425.095224138,0,484106.554226101,-797096.139356701,-39212.0075170407,372.56255
86772,326204.2405718,0,547912.888982225,-674484.575193623,-34160.2205002791,300.56255
86773,381572.289264618,0,599366.785119685,-784007.076393686,-40372.3427004481,351.93755
86774,321465.872162239,0,656606.532908912,-506990.769592245,-26299.8400767891,281.56255
86775,286692.901135661,0,315183.393066975,0,0,231.81255
86776,189001.575878832,0,1216793.64890005,-214765.343463759,-6370.75979232291,144.5
86777,180008.593463147,0,1099142.43120596,-224904.754361974,-5637.12778918963,132.5
86778,141487.746770326,0,245687.205325224,-24249.3174835392,-66.8160171254227,138.375
86779,114433.558407294,0,25142.8844348041,0,0,109.75
86780,96066.0645226459,0,0,-552.243483974474,-1.95101210162864,70.93755
86781,17033.8341740479,0,0,0,0,12.81255
86782,16899.514038085,0,0,27.7991244882291,7.73925017783536,11.93755
86783,59633.5277915319,0,79771.1365889891,936.38024271029,258.739286133851,64.25
86784,53488.9352075054,0,79171.6747271574,493.32406347257,133.176468729435,38.625
86785,141780.377932239,0,130985.097695337,1252.11057310734,343.065798036673,88.18755
86786,111634.48640399,0,69132.4128157792,500.052684195307,137.641598880834,68.06255
86787,169763.092394577,0,0,3712.46949621879,991.779201895722,105.875
86788,355777.490889095,0,110313.717758887,8311.06151942298,2175.41198623648,236.5
86789,69372.4182627164,0,31132.7967620836,2240.94818440173,567.567350705283,88.25
86790,0,0,0,0,0,0
86791,0,0,0,0,0,0
86792,3023.83938046301,0,78997.3146164533,-2453.05368384932,-284.315218386271,4.25
86793,44933.4146952167,0,689.885618442062,4992.71230012735,972.228939198588,62.31255
86794,0,0,0,0,0,0
86795,0,0,0,0,0,0
86796,104488.022959765,0,11234.3334175421,-497.762316526312,-9.92159310829862,86.875
86797,354137.982364605,0,11893.02921878,-1922.12490093895,-45.8804558680235,239
86798,376691.225755853,0,33120.135130782,-1379.72659965405,26.1457781756953,269.56255
86799,433819.996360319,0,12468.6074227565,-750.928258964926,114.6431355576,302.875
86800,334356.391269973,0,11779.1049966761,1138.07203836448,452.053810206169,224.56255
86801,274101.790802333,0,895.437885889459,21229.7221795413,4943.71524318137,180.43755
86802,177732.210367921,0,0,14576.0336564981,3360.23001012644,118
86803,216449.374732908,0,0,16945.5008971038,3792.86526881577,157.625
86804,52179.1603548265,0,0,6015.16202187177,1264.53018899865,72.93755
86805,0,0,0,0,0,0
86806,0,0,0,0,0,0
86807,0,0,0,0,0,0
86808,0,0,0,0,0,0
86809,0,0,0,0,0,0
86810,0,0,0,0,0,0
86811,0,0,0,0,0,0
86812,12817.1368338844,0,266729.253525702,9616.19510745718,2372.65727101902,18.68755
86813,0,0,0,0,0,0
86814,0,0,0,0,0,0
86815,0,0,0,0,0,0
86816,0,0,0,0,0,0
86817,1927.94333697207,0,43.5698290746815,122.696600231386,28.1412087403185,2.56255
86818,23741.5810460993,0,811.761906960515,167.47574180941,39.6851318314945,20.875
