new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha,offset_area_ha
"27060",0,0,171.375,0,228.625,0
"27064",0,0,212.4375,0,187.5625,0
"27065",0,0,343.125,0,56.875,0
"27066",0,0,379.75,0,20.25,0
"27067",0,0,400,0,0,0
"27068",0,0,372.875,0,27.125,0
"27069",1.8125,0,303.25,0,94.9375,0
"27070",0,0,329.5,0,70.5,0
"27074",9,0,312.625,0,78.375,0
"27075",0,0,331.5625,0,68.4375,0
"27076",0.0625,0,337.3125,0,62.625,0
"27077",3.3125,0,273.9375,0,122.75,0
"27080",1.5,0,350.625,0,47.875,0
"27081",3.8125,0,309.125,0,87.0625,0
"27082",7.8125,0,308.9375,0,83.25,0
"27083",0,0,294.25,0,105.75,0
"27084",0,0,370.125,0,29.875,0
"27085",0,0,393.375,0,6.625,0
"27086",8.0625,0,353.9375,0,38,0
"27087",66.3125,0,222.875,0,110.8125,0
"27716",0,0,241,0,159,0
"27717",1.1875,0,389.9375,0,8.875,0
"27718",0,0,314.0625,0,85.9375,0
"27724",0,0,336.875,0,63.125,0
"27726",0,0,330.5625,0,69.4375,0
"27728",55.375,0,204.3125,0,140.3125,0
"27730",0,0,279.5,0,120.5,0
"27731",17.5,0,254.6875,0,127.8125,0
"27733",0,0,265.125,0,134.875,0
"27734",0,0,197.6875,0,202.3125,0
"27735",0,0,309.625,0,90.375,0
"27736",28.5,0,250.75,0,120.75,0
"28367",0,0,188.125,0,211.875,0
"28374",3.1875,0,276.75,0,120.0625,0
"28379",0,0,250.1875,0,149.8125,0
"28380",0,0,343.875,0,56.125,0
"28381",25.875,0,252.6875,0,121.4375,0
"28382",0,0,300.8125,0,99.1875,0
"28383",0,0,306.375,0,93.625,0
"28384",0,1.3125,296.6875,0,102,0
"28385",0,0,226.75,0,173.25,0
"28386",0.8125,0,377.1875,0,22,0
"28387",100.875,0,229.375,0,69.75,0
"29029",0,0,250.5,0,149.5,0
"29030",0,0,267.8125,0,132.1875,0
"29031",8.8125,0,177.0625,0,214.125,0
"29032",0,0,314.875,0,85.125,0
"29033",0.9375,0,310.6875,0,88.375,0
"29034",0,0,287.8125,0,112.1875,0
"29035",9.4375,0,331.4375,0,59.125,0
"29036",0,0,267.625,0,132.375,0
"29037",19.25,0,327.375,0,53.375,0
"29038",57,0,335,0,8,0
"29679",0,0,271.1875,0,128.8125,0
"29680",0,0,311.9375,0,88.0625,0
"29681",0,0,195.625,0,204.375,0
"29682",0,0,303.5,0,96.5,0
"29683",0.9375,0,327.1875,0,71.875,0
"29684",62.625,0,197.6875,0,139.6875,0
"29688",0,0.8125,367.875,0,31.3125,0
"30332",0,0,375.5,0,24.5,0
"30333",0,0,255,0,145,0
"30336",0,0,307.1875,0,92.8125,0
"30920",66.6875,0,178.9375,0,154.375,0
"30921",260.375,0,118,0,21.625,0
"30922",270.9375,0,129.0625,0,0,0
"30923",170.0625,0,141.1875,0,88.75,0
"30985",0,0.1875,324.375,0,75.4375,0
"30986",2.25,0,291.4375,0,106.3125,0
"31569",200.9375,0,37,0,162.0625,0
"31570",345.1875,0,51.5,0,3.3125,0
"31571",166.3125,0,229.625,0,4.0625,0
"31572",139.375,0,255.125,0,5.5,0
"31573",177.9375,0,174.8125,0,47.25,0
"31636",0.4375,0,253.5625,0,146,0
"31646",0,0,391.0625,0,8.9375,0
"32221",140,0,131.5625,0,128.4375,0
"32222",161.75,0,230.625,0,7.625,0
"32223",268.25,0,54.8125,0,76.9375,0
"32294",4.4375,0,205.75,0,189.8125,0
"32295",10.6875,0,239.9375,0,149.375,0
"32312",29.4375,0,200.625,0,169.9375,0
"32313",13.375,0,353.6875,0,32.9375,0
"32872",199.0625,0,167.125,0,33.8125,0
"32873",216.375,0,73.4375,0,110.1875,0
"32943",2.5,0,184.375,0,213.125,0
"32944",0,0,392.5,0,7.5,0
"32945",0,0,400,0,0,0
"32946",50.375,0,246.875,0,102.75,0
"32954",0,0,298.0625,0,101.9375,0
"32955",0,0,396.3125,0,3.6875,0
"32956",0,4.0625,323.625,0,72.3125,0
"32960",0,0,383.9375,0,16.0625,0
"32961",0,0,396.0625,0,3.9375,0
"32962",0,0,387.8125,0,12.1875,0
"32963",0,0,382.9375,0,17.0625,0
"32964",0,0,371.125,0,28.875,0
"32965",22.875,0,275.5,0,101.625,0
"32966",0.0625,0,241.75,0,158.1875,0
"33522",103.25,0,290.3125,0,6.4375,0
"33523",101.0625,0,275.6875,0,23.25,0
"33592",3.625,2.375,334.625,0,59.375,0
"33593",16.6875,0,373.1875,0,10.125,0
"33594",0,0,374.6875,0,25.3125,0
"33595",0,0,400,0,0,0
"33596",2,0,396,0,2,0
"33604",0,0,381.5625,0,18.4375,0
"33605",0,8.1875,391.8125,0,0,0
"33606",0,6.5625,343.5,0,49.9375,0
"33607",0,5.3125,305.6875,0,89,0
"33608",0,0,313,0,87,0
"33610",0.1875,0,288.3125,0,111.5,0
"33611",0,0,400,0,0,0
"33612",0,0,391.5,0,8.5,0
"33613",0,0,362.6875,0,37.3125,0
"33614",0,0,376.6875,0,23.3125,0
"33615",0,0,365.4375,0,34.5625,0
"33617",0,0,205.5,0,194.5,0
"34241",15.9375,0,193.1875,0,190.875,0
"34242",7,0,389.3125,0,3.6875,0
"34243",0,0,398.75,0,1.25,0
"34244",0,0,304.4375,0,95.5625,0
"34245",0,0,332.125,0,67.875,0
"34246",0,0,399,0,1,0
"34247",1.9375,0,398.0625,0,0,0
"34248",7,0,255.4375,0,137.5625,0
"34254",0,0,370.1875,0,29.8125,0
"34255",0,0,400,0,0,0
"34256",0,0,398.1875,0,1.8125,0
"34257",0,1.75,374.625,0,23.625,0
"34258",0,0,284.8125,0,115.1875,0
"34259",0,0,370.375,0,29.625,0
"34260",1.4375,0,390.375,0,8.1875,0
"34261",0,0,384.0625,0,15.9375,0
"34262",0,0,395.75,0,4.25,0
"34263",0,0,390.4375,0,9.5625,0
"34264",0,0,381.5625,0,18.4375,0
"34265",0,0,364.75,0,35.25,0
"34266",25.4375,0,266.8125,0,107.75,0
"34267",36.6875,0,343.1875,0,20.125,0
"34268",4.375,0,373.8125,0,21.8125,0
"34892",2.6875,0,223.75,0,173.5625,0
"34893",0,0,364.8125,0,35.1875,0
"34894",0,0,367.875,0,32.125,0
"34895",0,0,394.4375,0,5.5625,0
"34896",0,0,400,0,0,0
"34897",0,0,395.0625,0,4.9375,0
"34898",15.8125,0,260.1875,0,124,0
"34903",0,0,311.375,0,88.625,0
"34904",0,0,384.625,0,15.375,0
"34905",0,0,364.25,0,35.75,0
"34906",0,0,387.5,0,12.5,0
"34907",0,3.625,382.625,0,13.75,0
"34909",0,0,365.8125,0,34.1875,0
"34910",0,0,330.5625,0,69.4375,0
"34911",0,0,397.9375,0,2.0625,0
"34912",0,0,357.5,0,42.5,0
"34913",0,0,346.625,0,53.375,0
"34914",0,0,255.375,0,144.625,0
"34915",0,0,310.6875,0,89.3125,0
"34916",0,0,388.125,0,11.875,0
"34917",2.8125,0,383.0625,0,14.125,0
"34918",0,0,295.375,0,104.625,0
"35544",0,0,353.4375,0,46.5625,0
"35545",0,0,387.625,0,12.375,0
"35546",0,0,398.6875,0,1.3125,0
"35547",0,0,399.125,0,0.875,0
"35548",1.875,0,301.25,0,96.875,0
"35549",0,0,399.5625,0,0.4375,0
"35550",0,0,341.9375,0,58.0625,0
"35553",0,0,398.1875,0,1.8125,0
"35554",0,0,397.9375,0,2.0625,0
"35555",0,0,400,0,0,0
"35556",0,0,398.6875,0,1.3125,0
"35557",0,2.125,389.5625,0,8.3125,0
"35558",0,0,353.3125,0,46.6875,0
"35559",0,0,314.625,0,85.375,0
"35560",0,0,354,0,46,0
"35561",0,0,395.25,0,4.75,0
"35562",0,0,384.3125,0,15.6875,0
"35563",0,0,312.625,0,87.375,0
"35564",0,0,357.25,0,42.75,0
"35565",0,0,373.4375,0,26.5625,0
"35566",0,0,372.0625,0,27.9375,0
"35567",16.5,0,326.375,0,57.125,0
"36195",0,0,334.4375,0,65.5625,0
"36196",0,0,383.25,0,16.75,0
"36197",0,0,394.5625,0,5.4375,0
"36198",0,0,398,0,2,0
"36199",0,0,400,0,0,0
