new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"27081",3.8125,0,309.125,0,87.0625
"27082",7.8125,0,308.9375,0,83.25
"27083",0,0,294.25,0,105.75
"27084",0,0,370.125,0,29.875
"27085",0,0,393.375,0,6.625
"27086",8.0625,0,353.9375,0,38
"27087",66.3125,0,222.875,0,110.8125
"27716",0,0,241,0,159
"27717",1.1875,0,389.9375,0,8.875
"27718",0,0,314.0625,0,85.9375
"27724",0,0,336.875,0,63.125
"27726",0,0,330.5625,0,69.4375
"27728",55.375,0,204.3125,0,140.3125
"27730",0,0,279.5,0,120.5
"27731",17.5,0,254.6875,0,127.8125
"27733",0,0,265.125,0,134.875
"27734",0,0,197.6875,0,202.3125
"27735",0,0,309.625,0,90.375
"27736",28.5,0,250.75,0,120.75
"28367",0,0,188.125,0,211.875
"28374",3.1875,0,276.75,0,120.0625
"28379",0,0,250.1875,0,149.8125
"28380",0,0,343.875,0,56.125
"28381",25.875,0,252.6875,0,121.4375
"28382",0,0,300.8125,0,99.1875
"28383",0,0,306.375,0,93.625
"28384",0,1.3125,296.6875,0,102
"28385",0,0,226.75,0,173.25
"28386",0.8125,0,377.1875,0,22
"28387",100.875,0,229.375,0,69.75
"29029",0,0,250.5,0,149.5
"29030",0,0,267.8125,0,132.1875
"29031",8.8125,0,177.0625,0,214.125
"29032",0,0,314.875,0,85.125
"29033",0.9375,0,310.6875,0,88.375
"29034",0,0,287.8125,0,112.1875
"29035",9.4375,0,331.4375,0,59.125
"29036",0,0,267.625,0,132.375
"29037",19.25,0,327.375,0,53.375
"29038",57,0,335,0,8
"29679",0,0,271.1875,0,128.8125
"29680",0,0,311.9375,0,88.0625
"29681",0,0,195.625,0,204.375
"29682",0,0,303.5,0,96.5
"29683",0.9375,0,327.1875,0,71.875
"29684",62.625,0,197.6875,0,139.6875
"29688",0,0.8125,367.875,0,31.3125
"30332",0,0,375.5,0,24.5
"30333",0,0,255,0,145
"30336",0,0,307.1875,0,92.8125
"30920",66.6875,0,178.9375,0,154.375
"30921",260.375,0,118,0,21.625
"30922",270.9375,0,129.0625,0,0
"30923",170.0625,0,141.1875,0,88.75
"30985",0,0.1875,324.375,0,75.4375
"30986",2.25,0,291.4375,0,106.3125
"31569",200.9375,0,37,0,162.0625
"31570",345.1875,0,51.5,0,3.3125
"31571",166.3125,0,229.625,0,4.0625
"31572",139.375,0,255.125,0,5.5
"31573",177.9375,0,174.8125,0,47.25
"31636",0.4375,0,253.5625,0,146
"31646",0,0,391.0625,0,8.9375
"32221",140,0,131.5625,0,128.4375
