"","scenario","total_benefits","total_other_ben","total_rec","total_costs","sr_chg","sr_perc_chg","sr","sr_ha"
"1","local_offset",1018612117.41849,1346349176.99132,-327737059.572821,4375790729.31403,1.69850989997959,0.080609602262445,20.4782608695652,-4.05983118097752
"2","max_bio",1353076659.98184,1311591949.23721,41484710.7446316,4766364578.05526,1.74611189658655,0.0875453863451068,21.7798424560695,-4.01311661667864
"3","max_es",1550146291.87228,1420821723.90012,129324567.972165,4268373703.59874,1.11775398909311,0.0586054827911696,20.3150878610382,-4.0229557866761
"4","max_rec_equity_weighted",1603145903.84904,1378186618.06187,224959285.787174,4373591063.99818,1.2320743284185,0.0610265222755933,20.1815794788932,-4.02155962411926
"5","min_cost",672524770.088021,1196876566.88528,-524351796.797257,3933352169.81689,2.3049888911331,0.0956916809139178,24.972126843062,-3.99887479426404
