new2kid,grass_ha,sng_ha,wood_ha,urban_ha,arable_ha,freshwater_ha,marine_ha,coast_ha,ocean_ha
"25785",0,328.75,70.5625,0,0,0.6875,0,0,0
"25786",12.875,259.1875,44.375,0.875,0,0,0,82.6875,0
"26407",0,376.875,0.3125,0,0,1.375,0,5.875,15.5625
"26408",0,368.75,3.0625,0,0,15.9375,1.125,2.5,8.625
"26409",0,213,0.125,0,0,0,2.375,8.125,176.375
"26410",0,397.875,0.875,0,0,1.25,0,0,0
"26411",0,358.625,3.5625,0,0,37.8125,0,0,0
"26412",0,337,8.1875,0,0,50.875,0,0.25,3.6875
"26414",0,355.25,0,0,0,0,7.5625,11.75,25.4375
"26415",0,399.4375,0,0,0,0.5625,0,0,0
"26416",0,400,0,0,0,0,0,0,0
"26417",0,399.375,0,0,0,0.625,0,0,0
"26418",0,367,0,0,0,33,0,0,0
"26419",0,364.875,0.3125,0,0,22.25,1.5625,2.9375,8.0625
"26420",0,332.625,0,0,0,65.75,0,1.4375,0.1875
"26421",0,338.375,0,0,0,30.8125,10.9375,16.6875,3.1875
"26422",0.9375,257,0,0,0,20.1875,9,112.4375,0.4375
"26424",17.8125,311.1875,0.3125,0,0,50.5625,6.8125,13.3125,0
"26425",6.5625,314.125,1.5625,0,0,77.75,0,0,0
"26426",9.125,330.875,0,0,0,60,0,0,0
"26427",27,247.375,2.625,0,0,100.5,5.125,17.375,0
"26431",51,204.1875,1.625,1,0,51.75,8.1875,82.25,0
"26432",9.3125,320.6875,0.75,0,0,35.8125,4.375,29.0625,0
"26433",0,334.5,0,0,0,65.5,0,0,0
"26434",0,399.125,0,0,0,0.875,0,0,0
"26435",0,397,0,0,0,3,0,0,0
"26436",16.4375,363.6875,0,0,0,19.375,0,0.5,0
"26437",149.375,165.75,2.9375,0,2.6875,0,0,79.25,0
"27057",0,335.875,2.75,0,0,18.625,3.375,12.375,27
"27060",0,181.75,0,0,0,0.8125,1.1875,1.1875,215.0625
"27064",0,221.9375,0,0,0,2.5,1.875,1.6875,172
"27065",0,342.3125,0,0,0,6,0,0.625,51.0625
"27066",0,379.0625,0,0,0,20.9375,0,0,0
"27067",0,400,0,0,0,0,0,0,0
"27068",0,370.3125,0,0,0,28.9375,0,0.625,0.125
"27069",0,297.5625,0,0,0,4.5,0.75,13.1875,84
"27070",0.9375,307.9375,0,0,0,27.3125,17.375,9.875,36.5625
"27074",5.4375,300.0625,1.4375,0,3.125,69.375,3.3125,9.75,7.5
"27075",0,333.625,0,0,0,54.4375,2.4375,5.8125,3.6875
"27076",9.3125,328.875,0,0,0,61.8125,0,0,0
"27077",0,264,0,0,0,58.6875,0.8125,76.375,0.125
"27080",1.3125,328.5625,4.125,0,0,47.3125,3.875,14.8125,0
"27081",5.125,292.9375,1.125,0,0,36.9375,52.5,11.375,0
"27082",0,297.4375,3.9375,0,0,43,30.875,24.75,0
"27083",0,300.5,1.75,0,0,97.75,0,0,0
"27084",0,375.125,0,0,0,24.875,0,0,0
"27085",0,396.125,0,0,0,3.875,0,0,0
"27086",8.125,355.5,0,0,0,36.375,0,0,0
"27087",45.4375,223.5625,0,0,0.625,0.5625,4.9375,124.875,0
"27716",0,250.4375,0,0,0,0.625,1.375,8.875,138.6875
"27717",0,388.9375,0,0,0,1.0625,0,0.8125,9.1875
"27718",0,316,0,0,0,4.5,1.125,5.125,73.25
"27724",0.1875,318.0625,0.8125,0,0,78.5625,0.3125,0,2.0625
"27726",0,320.875,0,0,0,33.375,18.5625,14.9375,12.25
"27728",15.5625,199.75,0.6875,0,1.875,26.6875,17.625,137.8125,0
"27730",0.6875,264.5,4.1875,0,0,120.375,0,10.25,0
"27731",24.6875,225.375,1.6875,0,0,59.375,73.1875,15.6875,0
"27733",0,255.4375,3.625,0,0,140.9375,0,0,0
"27734",0,201.1875,2.1875,0,0,196.625,0,0,0
"27735",0,317.625,0,0,0,82.375,0,0,0
