new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"25135",0,1629,0,190,0,0,0,0,0,4005,576,0,0,0,0,0,0,0,0,0,0
"25136",0,4779,0,435,0,0,0,0,0,658,0,0,0,0,0,0,300,228,0,0,0
"25757",0,0,0,1516,0,0,0,0,0,4134,6,0,0,13,0,31,6,491,0,0,0
"25758",0,0,0,1508,0,0,0,0,0,3842,296,0,0,187,0,0,567,0,0,0,0
"25760",0,0,0,1121,0,0,0,0,0,2508,2147,0,0,300,0,0,324,0,0,0,0
"25761",0,0,0,0,0,0,0,0,0,3922,1809,0,0,669,0,0,0,0,0,0,0
"25762",0,0,0,0,0,0,0,0,0,6097,0,0,0,303,0,0,0,0,0,0,0
"25763",0,0,0,0,0,0,0,0,168,4927,0,0,0,0,0,60,396,0,0,0,0
"25764",0,0,0,185,0,0,0,0,0,4930,0,0,0,113,0,15,333,0,0,0,0
"25765",0,0,0,0,0,0,0,0,0,6316,0,0,0,84,0,0,0,0,0,0,0
"25766",0,0,0,0,0,0,0,0,0,6379,21,0,0,0,0,0,0,0,0,0,0
"25767",0,0,0,0,0,0,0,0,0,5769,440,0,0,191,0,0,0,0,0,0,0
"25768",0,0,0,0,0,0,0,0,0,3190,1084,0,0,2126,0,0,0,0,0,0,0
"25769",0,0,0,25,0,0,0,0,0,2953,2454,0,0,968,0,0,0,0,0,0,0
"25770",0,0,0,641,0,0,0,0,0,705,3935,0,0,1119,0,0,0,0,0,0,0
"25771",0,0,0,480,0,0,0,0,0,0,3245,0,0,2675,0,0,0,0,0,0,0
"25772",0,0,0,3482,0,0,0,0,0,7,1534,0,0,1377,0,0,0,0,0,0,0
"25773",0,0,0,3298,0,0,0,0,0,0,0,0,0,149,0,0,70,2727,156,0,0
"25775",0,0,0,5794,0,0,0,0,0,0,15,0,0,591,0,0,0,0,0,0,0
"25776",0,0,0,1918,0,0,0,0,0,0,3331,0,0,1151,0,0,0,0,0,0,0
"25777",0,0,0,5590,0,0,0,0,0,0,0,0,0,769,0,26,0,5,0,0,10
"25778",0,0,0,2855,0,0,0,0,0,0,0,0,0,14,0,659,0,2730,102,0,0
"25782",0,0,0,3028,0,0,0,0,0,0,425,0,0,455,0,156,198,2138,0,0,0
"25783",0,0,0,193,0,0,0,0,0,346,5562,0,0,299,0,0,0,0,0,0,0
"25784",0,0,0,538,0,0,0,0,0,1153,4511,0,0,198,0,0,0,0,0,0,0
"25785",0,1635,0,0,0,0,0,0,0,3075,1679,0,0,11,0,0,0,0,0,0,0
"25786",0,1427,0,2357,0,0,0,0,0,1137,231,0,0,0,0,0,21,1227,0,0,0
"26407",0,0,0,0,0,0,0,0,0,5731,327,0,0,23,0,0,42,28,0,0,0
"26408",0,0,0,17,0,0,0,0,42,4683,1175,0,0,265,0,0,112,0,0,0,0
"26409",0,0,0,0,0,0,0,0,2,3368,0,0,0,0,0,0,2357,0,0,0,0
"26410",0,0,0,0,0,0,0,0,0,6386,0,0,0,14,0,0,0,0,0,0,0
"26411",0,0,0,0,0,0,0,0,0,5968,0,0,0,432,0,0,0,0,0,0,0
"26412",0,0,0,0,0,0,0,0,154,5677,0,0,0,448,58,0,4,0,0,0,0
"26414",0,0,0,0,0,0,0,0,0,5677,0,0,0,10,0,0,306,0,0,0,0
"26415",0,0,0,0,0,0,0,0,10,5825,0,565,0,0,0,0,0,0,0,0,0
"26416",0,0,0,0,0,0,0,0,0,6268,111,21,0,0,0,0,0,0,0,0,0
"26417",0,0,0,0,0,0,129,0,127,6080,53,0,0,11,0,0,0,0,0,0,0
"26418",0,0,0,0,0,0,0,0,32,4451,1379,0,0,538,0,0,0,0,0,0,0
"26419",0,0,0,247,0,0,0,0,0,5523,50,0,0,355,0,0,96,0,0,0,0
"26420",0,0,0,0,0,0,0,0,0,2292,2959,0,0,1140,0,0,6,0,0,0,0
"26421",0,0,0,1529,0,0,0,0,0,2530,1420,0,0,561,0,0,309,0,0,0,0
"26422",0,0,0,4172,0,0,0,0,0,47,34,0,0,265,0,0,578,995,0,0,0
"26424",0,0,0,3916,0,0,0,0,0,429,1129,0,0,684,0,0,231,0,0,0,0
"26425",0,0,0,832,0,0,0,0,0,0,4290,0,0,1278,0,0,0,0,0,0,0
"26426",0,0,0,1795,0,0,0,0,0,455,3174,0,0,976,0,0,0,0,0,0,0
"26427",0,0,0,4049,0,0,0,0,0,17,631,0,0,1372,0,0,101,200,30,0,0
"26431",0,0,0,4321,0,0,0,0,0,63,0,0,0,580,0,98,362,956,5,0,15
"26432",0,0,0,2416,0,0,0,0,0,398,2720,0,0,573,0,0,98,175,20,0,0
"26433",0,0,0,0,0,0,0,0,0,746,4590,0,0,1064,0,0,0,0,0,0,0
"26434",0,0,0,0,0,0,0,0,0,1517,4870,0,0,13,0,0,0,0,0,0,0
"26435",0,0,0,0,0,0,0,0,0,3091,3248,0,0,61,0,0,0,0,0,0,0
"26436",0,0,0,1084,0,0,0,0,0,2690,2318,0,0,308,0,0,0,0,0,0,0
"26437",0,0,0,5424,0,0,0,0,0,153,0,0,0,0,0,706,0,90,27,0,0
"27057",0,0,0,0,0,0,0,0,0,5398,0,0,0,202,32,0,274,0,0,0,0
"27060",0,0,0,0,0,0,0,0,0,2877,0,0,0,0,42,0,40,0,0,0,0
"27064",0,0,0,0,0,0,0,0,0,3541,0,0,0,0,83,0,25,0,0,0,0
"27065",0,0,0,0,0,0,0,0,52,5380,0,0,0,55,86,0,10,0,0,0,0
"27066",0,0,0,0,0,0,0,0,31,5471,0,556,0,342,0,0,0,0,0,0,0
"27067",0,0,0,0,0,0,89,0,689,2677,0,2945,0,0,0,0,0,0,0,0,0
"27068",0,0,0,0,0,0,0,0,300,5548,60,0,0,480,0,0,10,0,0,0,0
"27069",0,0,0,111,0,0,0,0,0,4562,0,0,0,71,0,0,312,0,0,0,0
"27070",0,0,0,457,0,0,0,0,0,4347,6,0,0,381,0,0,623,0,0,0,0
"27074",0,0,0,1287,0,0,0,0,0,1023,2624,0,0,1145,0,0,190,0,3,0,0
"27075",0,0,0,0,0,0,0,0,0,1685,3318,0,0,788,0,112,438,0,0,0,0
"27076",0,0,0,209,0,0,0,0,0,3068,2067,0,0,1035,0,0,21,0,0,0,0
"27077",0,0,0,2709,0,0,0,0,0,960,733,0,0,775,0,0,862,270,9,0,0
"27080",0,0,0,1737,0,0,0,0,0,1011,2607,0,0,829,0,0,37,61,118,0,0
"27081",0,0,0,824,0,0,0,0,0,3310,551,0,0,582,0,0,908,0,0,0,0
"27082",0,59,0,3217,0,0,0,0,0,602,854,0,0,681,0,0,910,0,34,0,0
