new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"20549",1.25,0,300.1875,0,98.5625
"21199",122.25,0,250.5,0.625,26.625
"21200",185.25,0,55.8125,0,158.9375
"21849",105.0625,0.875,275.1875,0.9375,17.9375
"21850",65.4375,0.625,333.9375,0,0
"21851",162.3125,0,235.1875,0,2.5
"21852",123.4375,0,53.5625,0,223
"22499",104.125,6.5,246.4375,0,42.9375
"22500",0,0,400,0,0
"22501",15.375,11.4375,373.1875,0,0
"22502",7.6875,0,265.375,0,126.9375
"23150",164,1.625,161.375,0,73
"23151",200.75,3.75,120.4375,0,75.0625
"23184",118.25,0,0,0,281.75
"23185",251.9375,0,0.5625,0,147.5
"23809",120.8125,0,0,0,279.1875
"23810",155.4375,0,0,0,244.5625
"23811",122.875,0,31.0625,0,246.0625
"23812",205.5,0,0,0,194.5
"23813",174.625,0,0.3125,0,225.0625
"23814",140.9375,0,36.375,0,222.6875
"23815",116.6875,0,0,0,283.3125
"23833",141,0,0,0,259
"23834",320.5,0,4.625,0,74.875
"23835",263.6875,0,87.0625,0,49.25
"23836",214.0625,0,149,0,36.9375
"23837",153,0,146.8125,0,100.1875
"24457",294.8125,0,1.875,0,103.3125
"24458",382.625,0,0,0,17.375
"24459",305,0,29.75,0,65.25
"24460",354.1875,0,5.3125,0,40.5
"24461",187.75,0,176.1875,0,36.0625
"24462",194.125,0,193.75,0,12.125
"24463",191.9375,0,173.375,0,34.6875
"24464",172.625,0,183.6875,0,43.6875
"24465",294.875,0,36.8125,0,68.3125
"24466",297.0625,0,46.125,0,56.8125
"24467",264.9375,0,2.875,0,132.1875
"24468",165.75,0,0,0,234.25
"24471",179.625,0,0,0,220.375
"24472",322.3125,0,0,0,77.6875
"24484",220.0625,0,149.75,0,30.1875
"24485",123.25,0,250.5625,0,26.1875
"24486",23.375,0,376.625,0,0
"24487",125.8125,0,245,0,29.1875
"25107",96.6875,0,278.0625,0,25.25
"25108",124.875,0,261,0,14.125
"25110",200.625,0,153.5625,0,45.8125
"25111",0,0,392.8125,0,7.1875
"25112",0,0,398.1875,0,1.8125
"25113",23.9375,0,346.9375,0,29.125
"25114",147.3125,0,139.125,0,113.5625
"25115",56.875,0,279.9375,0,63.1875
"25116",39.3125,0,352.3125,0,8.375
"25117",197.125,0,168.8125,0,34.0625
"25118",215.9375,0,93.4375,0,90.625
"25119",237.875,0,42.375,0,119.75
"25120",333.5625,0,25.3125,0,41.125
