new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"20549",3.125,0,297.0625,0,99.8125
"21199",95.5625,0,266.3125,9.5,28.625
"21200",188.125,0,50.1875,2.1875,159.5
"21849",119.9375,1.5,251.0625,12.0625,15.4375
"21850",79.3125,0,320.6875,0,0
"21851",166.75,0,229.4375,0,3.8125
"21852",123,0,54.4375,0,222.5625
"22499",105.3125,7.125,238.8125,7.875,40.875
"22500",0.375,0,399.625,0,0
"22501",15.75,0,371.375,0,12.875
"22502",37,0,265.375,0,97.625
"23150",87,0.75,228,3.125,81.125
"23151",165.625,2.6875,149.625,11.5625,70.5
"23184",197.5625,0,0,0,202.4375
"23185",255,1.375,0.6875,2.5625,140.375
"23809",125.5625,0.5625,5.25,0,268.625
"23810",137.8125,0,0,0,262.1875
"23811",87.4375,0,40.8125,0.6875,271.0625
"23812",189.0625,0,0,0,210.9375
"23813",167.8125,0.625,8.8125,0,222.75
"23814",135.3125,0,27.5625,0,237.125
"23815",182.625,0,0,0.25,217.125
"23833",126.5,0,0,0,273.5
"23834",307,0,15.9375,1.6875,75.375
"23835",291.9375,1.75,60.6875,0,45.625
"23836",215.3125,1.375,153.1875,0.8125,29.3125
"23837",130.75,2.1875,169.25,0,97.8125
"24457",286.3125,1.1875,0,4.5,108
"24458",360.875,0,20.8125,2.5,15.8125
"24459",288.375,2.3125,33,6.5625,69.75
"24460",337.125,0.125,17.125,10,35.625
"24461",159.5625,0,208.125,0.9375,31.375
"24462",180.125,2.5,208.6875,0,8.6875
"24463",171.9375,2.0625,190.375,0.5,35.125
"24464",119.4375,10.5,230,0,40.0625
"24465",272.1875,1.625,63.8125,2.1875,60.1875
"24466",268.125,1.75,72.0625,0,58.0625
"24467",239.875,0.5,14.5625,3.5,141.5625
"24468",80.625,0,0,0,319.375
"24471",168.5625,0,0,0,231.4375
"24472",318.125,0.125,1.875,0.9375,78.9375
"24484",217.3125,0,157.5,2.4375,22.75
"24485",96.9375,0,277.375,0,25.6875
"24486",12.75,0,387.25,0,0
"24487",63.8125,2.75,305,0,28.4375
"25107",84.875,0,288,0.8125,26.3125
"25108",78.875,0,306,1,14.125
"25110",125.9375,13.0625,225.75,6.9375,28.3125
"25111",0,0,394.125,0,5.875
"25112",0,0,398.1875,0,1.8125
"25113",16.4375,0,354.5625,0.5,28.5
"25114",67.9375,16.1875,213.6875,1.25,100.9375
"25115",13.3125,3.375,323.8125,0,59.5
"25116",16.25,0,376.125,0,7.625
"25117",186.4375,0.625,181.25,0.625,31.0625
"25118",206.125,1.375,106.3125,1.1875,85
"25119",204.5,2.1875,70.625,6.3125,116.375
"25120",270.9375,0.6875,88.4375,4.375,35.5625
"25121",119.8125,0,26.625,2.375,251.1875
"25122",129.375,0,26.25,1.25,243.125
"25123",147.25,0.6875,3.5625,3.6875,244.8125
"25125",267,1.5,0,0,131.5
"25126",205.1875,1.625,105.3125,0.6875,87.1875
"25127",250.125,0,2,26.25,121.625
"25133",162.375,0.5625,62.375,3.0625,171.625
"25134",48.875,0,292.0625,0,59.0625
"25135",3.375,81.125,315.5,0,0
"25136",0,294.3125,70.5625,0,35.125
"25757",62.125,0,291.75,0,46.125
"25758",70,8.125,285.4375,0.1875,36.25
"25760",59.75,3,298.25,0,39
"25761",0,0,358.1875,0,41.8125
"25762",0,0,381.0625,0,18.9375
"25763",0,0,329.125,0,70.875
"25764",13.5,3.875,310.4375,0,72.1875
"25765",0,0,394.75,0,5.25
"25766",0,0,400,0,0
"25767",0,0,388.5625,0,11.4375
"25768",0,0,269.3125,0,130.6875
"25769",0,0,339.25,0,60.75
"25770",16,0,311.75,0,72.25
"25771",21.9375,0,205.125,0,172.9375
"25772",187.6875,0.6875,133,2.6875,75.9375
"25773",194.625,0,2.5625,15.0625,187.75
"25775",323.75,4.875,34.5,1.4375,35.4375
"25776",76.8125,1.8125,246.25,0,75.125
"25777",307.25,0,3.5625,14.375,74.8125
"25778",125.9375,0,0,3.5625,270.5
"25782",182.5625,0,47.625,2.9375,166.875
"25783",10.4375,0,371.625,0,17.9375
"25784",0.875,0,386.75,0,12.375
"25785",0,75.125,324.875,0,0
"25786",85.5,45.25,189.3125,2.5,77.4375
"26407",0,0,380.25,0,19.75
"26408",0,0.5625,372.8125,0,26.625
"26409",0,0,214.875,0,185.125
"26410",0,0,399.125,0,0.875
"26411",0,0,373.125,0,26.875
"26412",0,0,361.9375,0,38.0625
"26414",0,0,362.375,0,37.625
"26415",0,0,400,0,0
"26416",0,0,400,0,0
"26417",0,0,400,0,0
"26418",0,0,367.75,0,32.25
"26419",17.875,0,348,0,34.125
"26420",0,0,335.1875,0,64.8125
"26421",38.75,17.8125,296.8125,1.25,45.375
"26422",113.9375,2.4375,146.4375,0.875,136.3125
"26424",184,4.1875,158.6875,1.125,52
"26425",30.875,2,288.625,0.875,77.625
"26426",57.9375,1.625,274.4375,4.375,61.625
"26427",214.3125,6.1875,72.9375,3.6875,102.875
"26431",183.1875,2.375,69.1875,6.375,138.875
"26432",98.875,0,242.9375,2.5625,55.625
"26433",0,0,334.0625,0,65.9375
"26434",0,0,399.1875,0,0.8125
"26435",0,0,396.875,0,3.125
"26436",33,0,347.3125,0,19.6875
"26437",363.1875,0,24.5,0,12.3125
"27057",0,0,346.9375,0,53.0625
"27060",0,0,182.4375,0,217.5625
"27064",0,0,222.3125,0,177.6875
"27065",0,0,342,0,58
"27066",0,0,378.625,0,21.375
"27067",0,0,400,0,0
"27068",0,0,371.25,0,28.75
"27069",12.0625,6.375,287.8125,0,93.75
"27070",21.75,7.125,280.875,0.9375,89.3125
"27074",30.75,0.6875,272.4375,0,96.125
"27075",0,0,324.1875,0,75.8125
"27076",0,0,336,0,64
"27077",110.5,5.875,166.0625,1.625,115.9375
"27080",49.5625,0,291.0625,1.3125,58.0625
"27081",11.75,3.9375,281.5,2.6875,100.125
"27082",29.5,17.875,262.25,0,90.375
"27083",0,0,301.125,0,98.875
"27084",0,0,373.875,0,26.125
"27085",0,0,397.25,0,2.75
"27086",25.9375,0,338.375,0,35.6875
"27087",165.6875,0,90.75,0.6875,142.875
"27716",0,0,254.1875,0,145.8125
"27717",0,0,388.75,0,11.25
"27718",0,0,313,0,87
"27724",35,0.5625,279.3125,2.1875,82.9375
"27726",0.6875,0.875,315.5625,0,82.875
"27728",147.625,4.5625,91.3125,7.0625,149.4375
"27730",9.4375,0,251.1875,0,139.375
"27731",84.125,20.5,166.25,1.9375,127.1875
"27733",0,1.0625,256.375,0,142.5625
"27734",0,0,204.1875,0,195.8125
"27735",0,0,317.875,0,82.125
"27736",89.0625,0,178.625,1.75,130.5625
"28367",0,0,187.9375,1.4375,210.625
"28374",54.625,17.875,202.5,1.625,123.375
"28379",11.0625,0.0625,251.25,2.1875,135.4375
"28380",0,0,324.4375,0,75.5625
"28381",85.625,39.625,144.25,1.0625,129.4375
"28382",0,0,289.375,0,110.625
"28383",0,0.625,281.3125,0,118.0625
"28384",0,0,300.875,0,99.125
"28385",0,0,227.9375,0,172.0625
"28386",8.875,5.25,362.25,5.1875,18.4375
"28387",250.75,15.1875,30.5,0.4375,103.125
"29029",0,0,262.375,0,137.625
"29030",0,0,253.5625,0,146.4375
"29031",31.625,37.3125,119.0625,0,212
"29032",0,0,314.5625,0,85.4375
"29033",15.9375,0,297.5625,0,86.5
"29034",28.6875,0,248.75,0,122.5625
"29035",37.5,7.75,296,1.9375,56.8125
"29036",0,63.125,217.5,0,119.375
"29037",67.0625,2.9375,268.0625,0,61.9375
"29038",171.3125,0,167.375,0,61.3125
"29679",0,0,293.25,0,106.75
"29680",0,0,296.25,0,103.75
"29681",0,0,196.8125,0,203.1875
"29682",5.0625,0,300.1875,0,94.75
"29683",39.9375,0,283,0,77.0625
"29684",204.5625,6,39,29.0625,121.375
"29688",0.8125,0,373.75,0,25.4375
"30332",0,0,383.9375,0,16.0625
"30333",2.375,0,245.1875,0.0625,152.375
"30336",19.5,0,279.6875,0,100.8125
"30920",224.4375,0,3.75,1.4375,170.375
"30921",371.375,0,0,0,28.625
"30922",400,0,0,0,0
"30923",282.8125,0,0,0,117.1875
