new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"28380",0,0,322.6875,0,77.3125
"28381",91.75,0,175.1875,2.125,130.9375
"28382",0,0,284.375,0,115.625
"28383",0,0,280.625,0,119.375
"28384",0,0,298.6875,0,101.3125
"28385",0,0,221.5625,0,178.4375
"28386",7.75,0,373.0625,0,19.1875
"28387",260.0625,0,28.25,0.6875,111
"29029",0,0,251.1875,0,148.8125
"29030",0,0,261.9375,0,138.0625
"29031",37.25,0,136.625,1.4375,224.6875
"29032",0,0,306.6875,0,93.3125
"29033",15.375,0,289.75,0,94.875
"29034",26.25,0,251.75,0,122
"29035",38.4375,0,290.8125,0,70.75
"29036",8.3125,3.875,210.6875,0,177.125
"29037",70.875,0,266.3125,0,62.8125
"29038",187.6875,0,147.9375,0,64.375
"29679",0,0,285.0625,0,114.9375
"29680",0,0,295.6875,0,104.3125
"29681",0,0,177.875,0,222.125
"29682",0,0,298.8125,0,101.1875
"29683",30.4375,0,279.4375,0,90.125
"29684",210.75,0,27.625,22.125,139.5
"29688",0.8125,0,368.875,0,30.3125
"30332",0,0,382.875,0,17.125
"30333",0,0,243.6875,0.0625,156.25
"30336",23.125,0,270.6875,0,106.1875
"30920",231.5625,0,56.9375,0,111.5
"30921",371.375,0,28.4375,0,0.1875
"30922",400,0,0,0,0
"30923",302.5625,0,0,0,97.4375
"30985",20.3125,1.9375,289.6875,0,88.0625
"30986",84.3125,0.9375,182.625,0,132.125
"31569",148.9375,0,68.3125,0,182.75
"31570",361.9375,0,34.5625,0,3.5
"31571",394.5,1.4375,4.0625,0,0
"31572",393.9375,0,6.0625,0,0
"31573",398,0,0,0.625,1.375
"31636",38.5625,26.8125,173.5625,0,161.0625
"31646",0,0,378.5,0,21.5
"32221",286.6875,0,0,0,113.3125
"32222",397.8125,0,2.1875,0,0
"32223",313,0,0,0,87
"32294",52.4375,6.3125,146.375,4.4375,190.4375
"32295",75.9375,0.5625,77.125,0,246.375
"32312",57.75,0,135.875,0,206.375
"32313",80.9375,0,258.4375,0,60.625
"32872",400,0,0,0,0
"32873",281.6875,0,0,0,118.3125
"32943",54.5625,3.9375,111.75,29.4375,200.3125
"32944",3.125,0,391.9375,0,4.9375
"32945",12.875,0,387.125,0,0
"32946",148.3125,0,135.625,0.8125,115.25
"32954",21.75,0,284.75,0,93.5
"32955",5.5,0,392.9375,0,1.5625
"32956",27.1875,1.5625,299.6875,0,71.5625
"32960",0,0,392.9375,0,7.0625
"32961",0,0,395.9375,0,4.0625
"32962",0,0,390.4375,0,9.5625
"32963",0,0,382.3125,0,17.6875
"32964",0,0,363.625,0,36.375
"32965",80.625,0,209.0625,0,110.3125
