new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"25123",0,40,0,472,1187,0,0,0,0,0,93,125,0,20,68,338,0,394,111,2132,119,0,0
"25125",0,31,0,1341,2284,0,0,0,0,0,159,0,0,69,49,375,0,553,48,216,66,0,0
"25126",0,101,0,687,2006,0,0,0,0,31,621,974,0,248,0,844,0,489,130,57,58,0,0
"25127",0,37,24,1059,2750,0,0,0,0,0,180,126,0,47,0,107,16,374,246,231,0,15,34
"25133",0,20,0,298,1817,0,0,0,0,20,384,1038,0,129,447,701,0,169,37,1292,48,0,0
"25134",0,0,10,6,634,0,0,0,0,0,145,4983,0,0,0,622,0,0,0,0,0,0,0
"25135",0,997,0,0,87,0,0,0,0,0,2215,3101,0,0,0,0,0,0,0,0,0,0,0
"25136",0,4549,0,17,50,0,0,0,0,10,276,1014,0,0,0,186,0,0,0,298,0,0,0
"25757",0,0,0,11,1007,0,0,0,0,666,3302,442,0,69,0,38,0,138,0,270,34,0,0
"25758",0,83,9,43,782,0,0,0,0,672,2746,1238,0,37,78,201,0,0,38,125,0,0,0
"25760",0,0,0,26,464,0,0,0,0,78,1456,3563,0,68,92,457,0,0,30,87,0,0,0
"25761",0,0,0,0,48,0,0,0,0,79,1972,3629,0,0,0,672,0,0,0,0,0,0,0
"25762",0,0,0,0,12,0,0,0,0,252,2572,3234,0,27,0,303,0,0,0,0,0,0,0
"25763",0,0,0,0,72,0,0,0,0,443,3503,1133,0,36,151,108,0,0,64,31,8,0,0
"25764",0,0,18,81,105,0,0,0,0,12,2163,2630,0,61,108,111,0,0,135,82,20,0,0
"25765",0,0,0,0,0,0,0,404,0,251,3465,2195,0,0,0,85,0,0,0,0,0,0,0
"25766",0,0,0,0,59,0,0,188,0,489,4341,1323,0,0,0,0,0,0,0,0,0,0,0
"25767",0,0,0,0,163,0,0,0,0,151,824,5077,0,0,0,185,0,0,0,0,0,0,0
"25768",0,9,0,0,148,0,0,34,0,97,1253,2712,0,72,0,2075,0,0,0,0,0,0,0
"25769",4,8,0,0,171,0,0,295,0,42,1180,3686,0,51,0,963,0,0,0,0,0,0,0
"25770",0,7,0,21,457,0,0,36,0,16,574,4139,0,90,0,1060,0,0,0,0,0,0,0
"25771",0,100,0,0,85,0,0,0,0,0,177,3136,0,234,0,2668,0,0,0,0,0,0,0
"25772",60,32,0,379,848,0,0,0,0,23,140,2792,0,215,0,1859,0,21,0,31,0,0,0
"25773",0,0,0,641,1944,0,0,0,0,24,306,89,0,5,0,255,0,78,0,2896,138,12,12
"25775",22,29,0,887,3850,0,0,0,0,0,815,164,0,29,0,604,0,0,0,0,0,0,0
"25776",0,18,0,123,998,0,0,0,0,16,224,3692,0,147,0,1182,0,0,0,0,0,0,0
"25777",0,0,0,1049,3371,0,0,0,72,0,464,106,0,192,0,805,0,155,5,17,24,140,0
"25778",0,0,0,73,1378,0,0,0,0,0,64,46,0,69,146,14,15,1950,1060,1398,40,142,0
"25782",0,0,0,910,1161,0,0,0,0,10,50,1296,0,26,569,455,0,155,22,1736,10,0,0
"25783",0,0,0,18,138,0,0,0,0,0,599,5342,0,0,0,303,0,0,0,0,0,0,0
"25784",0,0,0,457,199,0,0,0,0,0,448,5104,0,0,0,192,0,0,0,0,0,0,0
"25785",0,1129,0,0,0,0,0,209,0,0,919,4132,0,0,0,11,0,0,0,0,0,0,0
"25786",0,710,0,206,1301,0,0,0,0,0,476,2370,0,0,0,0,0,61,0,1262,0,14,0
