"","scenario","total_benefits","total_other_ben","total_rec","total_costs","sr_chg","sr_perc_chg","sr","sr_ha"
"1","local_offset",3172085521.33479,3509267713.02456,-337182191.689777,4381049837.43782,1.71604431678293,0.0814625616465727,20.5203118588428,-4.08050214363072
"2","max_bio",3462597750.29019,3524793225.82196,-62195475.53177,4667515059.97447,2.27327812563119,0.109955103201368,22.7955968491214,-4.00588521145289
"3","max_es",3618837499.39929,3741814142.4888,-122976643.089509,4280835507.31205,1.63926479499091,0.0787883642872871,22.5413047869117,-4.01586240136924
"4","max_es_equity_weighted",3621106502.79145,3741525425.89973,-120418923.108286,4280678733.90053,1.63865885679661,0.0787632779947144,22.5409008281155,-4.01551958081234
"5","max_rec",3695877487.16305,3500808863.51849,195068623.644561,4334654782.02416,1.34235507978186,0.0658161436528708,20.5709957584326,-4.02098822818146
"6","max_rec_equity_weighted",3729884797.11901,3527345808.84082,202538988.278187,4372609677.75206,1.29589981821854,0.0633268189121422,20.3918400323167,-4.02082336398379
"7","min_cost",3033174577.62686,3360648682.04739,-327474104.420534,3810195505.90509,1.61179559684912,0.0737182719327135,23.1569379923248,-4.01042553014407
