"","scenario","total_benefits","total_other_ben","total_rec","total_costs","sr_chg","sr_perc_chg","sr","sr_ha"
"1","local_offset",1018612117.41849,1346349176.99132,-327737059.572821,4375790729.31403,1.69850989997959,0.080609602262445,20.4782608695652,-4.05983118097752
"2","max_bio",1009438178.15517,1181174281.3308,-171736103.175628,4489998503.52616,3.10886689557665,0.132296427585346,26.7992324782872,-3.9872341439848
"3","max_es",1638552759.38771,1455232878.44436,183319880.943353,4102030264.90587,1.32235911936982,0.0673842961642093,20.0935164613209,-4.01965078073092
"4","max_rec_equity_weighted",1602549735.79218,1370825962.96647,231723772.825709,4373735271.80423,1.33043829529388,0.0646946465723925,20.3057968087255,-4.01894746965044
"5","min_cost",910575378.195316,1276765105.7084,-366189727.513087,3579916293.7595,1.80024237527772,0.0781150288956257,23.9915168652797,-4.00672270186506
